URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)	BTS	Dist(m)	Penalty(ms)	Position
http://10.40.1.135/index3.html	2025-12-11 19:10:43.481881	2025-12-11 19:10:43.673533	191.61	200	8540.05	5215.7	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index36.html	2025-12-11 19:10:46.314773	2025-12-11 19:10:46.361459	46.66	200	2759.78	6812.03	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index12.html	2025-12-11 19:10:47.769976	2025-12-11 19:10:47.812580	42.58	200	4989.81	8940.54	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index7.html	2025-12-11 19:10:49.372693	2025-12-11 19:10:49.417121	44.41	200	8054.41	9921.94	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 19:10:51.236735	2025-12-11 19:10:51.281222	44.46	200	3280.87	8514.52	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 19:10:52.668751	2025-12-11 19:10:52.712871	44.1	200	3280.87	8945.71	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 19:10:54.081300	2025-12-11 19:10:54.107793	26.47	200	3280.87	10118.23	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index22.html	2025-12-11 19:10:55.435663	2025-12-11 19:10:55.477653	41.95	200	5607.98	10059.75	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index7.html	2025-12-11 19:10:57.036781	2025-12-11 19:10:57.079234	42.42	200	8054.41	10780.8	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index11.html	2025-12-11 19:10:58.827815	2025-12-11 19:10:58.872547	44.71	200	7659.31	10541.82	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 19:11:00.600751	2025-12-11 19:11:00.645293	44.48	200	3280.87	9386.03	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index41.html	2025-12-11 19:11:01.996754	2025-12-11 19:11:02.040038	43.26	200	3220.16	8269.36	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index19.html	2025-12-11 19:11:03.430723	2025-12-11 19:11:03.472708	41.96	200	5392.91	9841.83	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index2.html	2025-12-11 19:11:05.022804	2025-12-11 19:11:05.066278	43.45	200	4336.15	9594.1	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 19:11:06.519776	2025-12-11 19:11:06.562991	43.19	200	3280.87	9178.56	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 19:11:07.922734	2025-12-11 19:11:07.941161	18.4	200	3280.87	9825.28	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index2.html	2025-12-11 19:11:09.277889	2025-12-11 19:11:09.319792	41.88	200	4336.15	9384.02	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index5.html	2025-12-11 19:11:10.783768	2025-12-11 19:11:10.835543	51.75	200	5061.6	9952.74	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index4.html	2025-12-11 19:11:12.345755	2025-12-11 19:11:12.393346	47.57	200	5061.61	10077.01	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index2.html	2025-12-11 19:11:13.896999	2025-12-11 19:11:13.937506	40.49	200	4336.15	9482.41	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index7.html	2025-12-11 19:11:15.397604	2025-12-11 19:11:15.438451	40.83	200	8054.41	10018.68	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 19:11:17.243627	2025-12-11 19:11:17.285316	41.67	200	3280.87	8792.33	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index2.html	2025-12-11 19:11:18.659733	2025-12-11 19:11:18.700930	41.18	200	4336.15	9110.87	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index3.html	2025-12-11 19:11:20.178588	2025-12-11 19:11:20.219853	41.24	200	8540.05	10284.16	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index4.html	2025-12-11 19:11:22.052588	2025-12-11 19:11:22.094178	41.57	200	5061.61	9906.67	A	0.0	0.0	(0.0, 0.0)
