URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)	UE Position (x,y)
http://10.40.1.135/index3.html	2025-12-10 18:29:36.561440	2025-12-10 18:29:41.727396	5165.96	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(0.0,0.0)
http://10.40.1.135/index11.html	2025-12-10 18:29:37.563848	2025-12-10 18:29:42.738568	5174.72	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(15.1,0.0)
http://10.40.1.135/index2.html	2025-12-10 18:29:38.568573	2025-12-10 18:29:43.679991	5111.42	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(30.1,0.0)
http://10.40.1.135/index1.html	2025-12-10 18:29:39.570367	2025-12-10 18:29:44.650833	5080.47	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(45.2,0.0)
http://10.40.1.135/index2.html	2025-12-10 18:29:40.572876	2025-12-10 18:29:45.734754	5161.88	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(60.2,0.0)
http://10.40.1.135/index2.html	2025-12-10 18:29:45.581093	2025-12-10 18:29:46.474675	893.58	Failed: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))	0	0	(135.3,0.0)
http://10.40.1.135/index1.html	2025-12-10 18:29:41.575232	2025-12-10 18:29:46.476361	4901.13	Failed: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))	0	0	(75.2,0.0)
http://10.40.1.135/index9.html	2025-12-10 18:29:43.578577	2025-12-10 18:29:46.476824	2898.25	Failed: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))	0	0	(105.3,0.0)
http://10.40.1.135/index1.html	2025-12-10 18:29:42.577036	2025-12-10 18:29:46.476548	3899.51	Failed: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))	0	0	(90.3,0.0)
http://10.40.1.135/index41.html	2025-12-10 18:29:44.580034	2025-12-10 18:29:46.475270	1895.24	Failed: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))	0	0	(120.3,0.0)
HO::cell_A->cell_B	2025-12-10 18:29:51.592297	UE_Pos:(225.5,0.0)				
http://10.40.1.135/index1.html	2025-12-10 18:29:46.585624	2025-12-10 18:29:51.605727	5020.1	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(150.4,0.0)
http://10.40.1.135/index1.html	2025-12-10 18:29:47.587074	2025-12-10 18:29:52.683863	5096.79	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(165.4,0.0)
http://10.40.1.135/index3.html	2025-12-10 18:29:48.588650	2025-12-10 18:29:53.629557	5040.91	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(180.4,0.0)
http://10.40.1.135/index8.html	2025-12-10 18:29:49.589838	2025-12-10 18:29:54.752744	5162.91	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(195.5,0.0)
http://10.40.1.135/index14.html	2025-12-10 18:29:50.591217	2025-12-10 18:29:55.761936	5170.72	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(210.5,0.0)
http://10.40.1.135/index1.html	2025-12-10 18:29:51.693684	2025-12-10 18:29:56.723631	5029.95	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(225.5,0.0)
http://10.40.1.135/index3.html	2025-12-10 18:29:52.593139	2025-12-10 18:29:57.608707	5015.57	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(240.5,0.0)
http://10.40.1.135/index1.html	2025-12-10 18:29:53.593944	2025-12-10 18:29:58.643472	5049.53	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(255.5,0.0)
http://10.40.1.135/index25.html	2025-12-10 18:29:54.595123	2025-12-10 18:29:59.684577	5089.45	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(270.5,0.0)
http://10.40.1.135/index1.html	2025-12-10 18:29:55.596214	2025-12-10 18:30:00.756759	5160.55	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(285.6,0.0)
http://10.40.1.135/index1.html	2025-12-10 18:29:56.597230	2025-12-10 18:30:01.727728	5130.5	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(300.6,0.0)
http://10.40.1.135/index3.html	2025-12-10 18:29:57.597962	2025-12-10 18:30:02.621693	5023.73	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(315.6,0.0)
http://10.40.1.135/index3.html	2025-12-10 18:29:58.599164	2025-12-10 18:30:03.658743	5059.58	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(330.6,0.0)
http://10.40.1.135/index1.html	2025-12-10 18:29:59.599817	2025-12-10 18:30:04.627745	5027.93	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(345.6,0.0)
http://10.40.1.135/index1.html	2025-12-10 18:30:00.601733	2025-12-10 18:30:05.743948	5142.22	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(360.6,0.0)
http://10.40.1.135/index13.html	2025-12-10 18:30:01.602460	2025-12-10 18:30:06.742771	5140.31	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(375.6,0.0)
http://10.40.1.135/index8.html	2025-12-10 18:30:02.603985	2025-12-10 18:30:07.634597	5030.61	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(390.7,0.0)
http://10.40.1.135/index1.html	2025-12-10 18:30:03.605151	2025-12-10 18:30:08.674643	5069.49	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(405.7,0.0)
http://10.40.1.135/index8.html	2025-12-10 18:30:04.606010	2025-12-10 18:30:09.641572	5035.56	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(420.7,0.0)
http://10.40.1.135/index1.html	2025-12-10 18:30:05.606804	2025-12-10 18:30:10.756633	5149.83	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(435.7,0.0)
http://10.40.1.135/index17.html	2025-12-10 18:30:06.608127	2025-12-10 18:30:11.724691	5116.56	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(450.7,0.0)
http://10.40.1.135/index26.html	2025-12-10 18:30:07.609019	2025-12-10 18:30:12.649482	5040.46	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(465.7,0.0)
http://10.40.1.135/index11.html	2025-12-10 18:30:08.609765	2025-12-10 18:30:13.640753	5030.99	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(480.8,0.0)
http://10.40.1.135/index1.html	2025-12-10 18:30:09.610797	2025-12-10 18:30:14.630787	5019.99	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Read timed out. (read timeout=5)	0	0	(495.8,0.0)
http://10.40.1.135/index25.html	2025-12-10 18:30:14.616989	2025-12-10 18:30:15.429606	812.62	Failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))	0	0	(570.9,0.0)
http://10.40.1.135/index8.html	2025-12-10 18:30:10.612990	2025-12-10 18:30:15.431339	4818.35	Failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))	0	0	(510.8,0.0)
http://10.40.1.135/index2.html	2025-12-10 18:30:11.613850	2025-12-10 18:30:15.432190	3818.34	Failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))	0	0	(525.8,0.0)
http://10.40.1.135/index3.html	2025-12-10 18:30:13.615779	2025-12-10 18:30:15.432714	1816.93	Failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))	0	0	(555.8,0.0)
http://10.40.1.135/index9.html	2025-12-10 18:30:12.614826	2025-12-10 18:30:15.431850	2817.02	Failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))	0	0	(540.8,0.0)
http://10.40.1.135/index5.html	2025-12-10 18:30:15.618586	2025-12-10 18:30:15.753410	134.82	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index5.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ea97c93afb0>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(585.9,0.0)
