URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
http://10.40.1.135/index3.html	2025-12-10 17:57:32.808758	2025-12-10 17:57:37.832833	5024.07	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index3.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fdd96fe0>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index11.html	2025-12-10 17:57:33.810303	2025-12-10 17:57:38.816901	5006.6	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index11.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fdd97910>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index2.html	2025-12-10 17:57:34.812849	2025-12-10 17:57:39.819635	5006.79	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index2.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde18130>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index1.html	2025-12-10 17:57:35.816631	2025-12-10 17:57:40.823456	5006.82	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index1.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde18910>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index2.html	2025-12-10 17:57:36.818238	2025-12-10 17:57:41.827108	5008.87	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index2.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde190f0>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index1.html	2025-12-10 17:57:37.820318	2025-12-10 17:57:42.828297	5007.98	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index1.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde198d0>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index1.html	2025-12-10 17:57:38.822155	2025-12-10 17:57:43.831543	5009.39	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index1.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde19d50>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index9.html	2025-12-10 17:57:39.823350	2025-12-10 17:57:44.830791	5007.44	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index9.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde1a230>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index41.html	2025-12-10 17:57:40.824525	2025-12-10 17:57:45.830489	5005.96	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index41.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde1a7d0>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index2.html	2025-12-10 17:57:41.825415	2025-12-10 17:57:46.832125	5006.71	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index2.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde1ace0>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index1.html	2025-12-10 17:57:42.825923	2025-12-10 17:57:47.834004	5008.08	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index1.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde1b250>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index1.html	2025-12-10 17:57:43.826803	2025-12-10 17:57:48.834660	5007.86	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index1.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde1b760>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index3.html	2025-12-10 17:57:44.828000	2025-12-10 17:57:49.835674	5007.67	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index3.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fdd97f40>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index8.html	2025-12-10 17:57:45.828885	2025-12-10 17:57:50.837188	5008.3	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index8.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde1a050>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index13.html	2025-12-10 17:57:46.830130	2025-12-10 17:57:51.837819	5007.69	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index13.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde197b0>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index1.html	2025-12-10 17:57:47.830953	2025-12-10 17:57:52.837722	5006.77	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index1.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde18fa0>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index28.html	2025-12-10 17:57:48.832394	2025-12-10 17:57:53.841872	5009.48	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index28.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde188b0>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index1.html	2025-12-10 17:57:49.832834	2025-12-10 17:57:54.840952	5008.12	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index1.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde19ea0>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index25.html	2025-12-10 17:57:50.834209	2025-12-10 17:57:55.842590	5008.38	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index25.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde1bee0>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
HO::cell_A->cell_B	2025-12-10 17:57:56.841640					
http://10.40.1.135/index1.html	2025-12-10 17:57:51.835086	2025-12-10 17:57:56.842836	5007.75	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index1.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde54430>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index4.html	2025-12-10 17:57:52.835839	2025-12-10 17:57:57.842566	5006.73	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index4.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde54940>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index3.html	2025-12-10 17:57:53.838211	2025-12-10 17:57:58.847686	5009.48	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index3.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde18f70>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index39.html	2025-12-10 17:57:54.839128	2025-12-10 17:57:59.845571	5006.44	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index39.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde1b9d0>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index1.html	2025-12-10 17:57:55.840210	2025-12-10 17:58:00.847809	5007.6	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index1.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde1af80>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
http://10.40.1.135/index46.html	2025-12-10 17:57:56.942215	2025-12-10 17:58:01.948726	5006.51	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index46.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7397fde18f40>, 'Connection to 10.40.1.135 timed out. (connect timeout=5)'))	0	0
