Queue #	URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
1	http://10.40.1.135/index6.html	2025-12-03 17:06:21.552110	2025-12-03 17:06:21.778129	225.97	200	2261.11	2872.87
2	http://10.40.1.135/index82.html	2025-12-03 17:06:22.554820	2025-12-03 17:06:22.597260	42.42	200	5482.04	6142.19
3	http://10.40.1.135/index32.html	2025-12-03 17:06:23.560389	2025-12-03 17:06:23.601984	41.57	200	5824.42	10499.85
4	http://10.40.1.135/index18.html	2025-12-03 17:06:24.560821	2025-12-03 17:06:24.601428	40.59	200	6370.79	8635.35
5	http://10.40.1.135/index2.html	2025-12-03 17:06:25.563604	2025-12-03 17:06:25.609271	45.65	200	4336.15	9777.43
6	http://10.40.1.135/index2.html	2025-12-03 17:06:26.565853	2025-12-03 17:06:26.585333	19.44	200	4336.15	7688.78
7	http://10.40.1.135/index1.html	2025-12-03 17:06:27.567830	2025-12-03 17:06:27.617885	50.03	200	3280.87	6275.31
8	http://10.40.1.135/index57.html	2025-12-03 17:06:28.568861	2025-12-03 17:06:28.609141	40.26	200	5547.27	9481.19
9	http://10.40.1.135/index18.html	2025-12-03 17:06:29.569842	2025-12-03 17:06:29.591849	21.99	200	6370.79	10300.85
10	http://10.40.1.135/index29.html	2025-12-03 17:06:30.570830	2025-12-03 17:06:30.614116	43.26	200	5913.51	9438.1
11	http://10.40.1.135/index1.html	2025-12-03 17:06:31.572826	2025-12-03 17:06:31.602329	29.46	200	3280.87	8553.59
12	http://10.40.1.135/index88.html	2025-12-03 17:06:32.572748	2025-12-03 17:06:32.618896	46.13	200	5752.59	8399.49
13	http://10.40.1.135/index49.html	2025-12-03 17:06:33.573985	2025-12-03 17:06:33.618912	44.91	200	5469.02	9645.63
14	http://10.40.1.135/index3.html	2025-12-03 17:06:34.574896	2025-12-03 17:06:34.621915	46.99	200	8540.05	11310.63
15	http://10.40.1.135/index2.html	2025-12-03 17:06:35.575783	2025-12-03 17:06:35.593916	18.11	200	4336.15	9625.37
16	http://10.40.1.135/index2.html	2025-12-03 17:06:36.576876	2025-12-03 17:06:36.591693	14.79	200	4336.15	9070.72
17	http://10.40.1.135/index4.html	2025-12-03 17:06:37.577794	2025-12-03 17:06:37.627927	50.1	200	5061.61	9112.44
18	http://10.40.1.135/index13.html	2025-12-03 17:06:38.578874	2025-12-03 17:06:38.620991	42.09	200	4702.43	9650.89
19	http://10.40.1.135/index8.html	2025-12-03 17:06:39.580539	2025-12-03 17:06:39.626389	45.78	200	6086.97	9849.1
20	http://10.40.1.135/index4.html	2025-12-03 17:06:40.582543	2025-12-03 17:06:40.602706	20.1	200	5061.61	10237.53
21	http://10.40.1.135/index19.html	2025-12-03 17:06:41.582740	2025-12-03 17:06:41.630752	47.99	200	5392.91	9655.23
22	http://10.40.1.135/index2.html	2025-12-03 17:06:42.584131	2025-12-03 17:06:42.605226	21.07	200	4336.15	9249.95
23	http://10.40.1.135/index4.html	2025-12-03 17:06:43.585560	2025-12-03 17:06:43.607506	21.91	200	5061.61	10136.73
