URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)	UE Position (x,y)
http://10.40.1.135/index3.html	2025-12-10 18:31:53.916624	2025-12-10 18:31:54.047796	138.64	200	8540.05	3499.7	(200.0,200.0)
http://10.40.1.135/index11.html	2025-12-10 18:31:54.919001	2025-12-10 18:31:54.998074	86.48	200	7659.31	3515.8	(214.8,202.3)
http://10.40.1.135/index2.html	2025-12-10 18:31:55.926109	2025-12-10 18:31:56.017027	97.56	200	4336.15	3666.6	(212.5,217.2)
http://10.40.1.135/index1.html	2025-12-10 18:31:56.929050	2025-12-10 18:31:56.979104	55.98	200	3280.87	3811.27	(215.0,232.1)
http://10.40.1.135/index2.html	2025-12-10 18:31:57.929975	2025-12-10 18:31:57.967139	43.83	200	4336.15	3664.12	(213.7,217.1)
http://10.40.1.135/index1.html	2025-12-10 18:31:58.930965	2025-12-10 18:31:58.974654	50.99	200	3280.87	3534.97	(207.0,203.7)
http://10.40.1.135/index1.html	2025-12-10 18:31:59.932177	2025-12-10 18:31:59.952662	28.31	200	3280.87	3431.3	(218.7,194.3)
http://10.40.1.135/index9.html	2025-12-10 18:32:00.933059	2025-12-10 18:32:00.977357	51.84	200	2820.52	3487.24	(231.6,202.1)
http://10.40.1.135/index41.html	2025-12-10 18:32:01.934587	2025-12-10 18:32:01.976888	49.38	200	3220.16	3579.46	(218.3,209.1)
http://10.40.1.135/index2.html	2025-12-10 18:32:02.936192	2025-12-10 18:32:02.980571	51.46	200	4336.15	3580.22	(233.1,211.9)
http://10.40.1.135/index1.html	2025-12-10 18:32:03.936972	2025-12-10 18:32:03.981032	50.46	200	3280.87	3715.01	(236.0,226.6)
http://10.40.1.135/index1.html	2025-12-10 18:32:04.937847	2025-12-10 18:32:04.998587	67.0	200	3280.87	3743.76	(221.0,226.1)
http://10.40.1.135/index3.html	2025-12-10 18:32:05.939551	2025-12-10 18:32:05.987038	53.79	200	8540.05	3734.62	(235.8,228.6)
http://10.40.1.135/index8.html	2025-12-10 18:32:06.940903	2025-12-10 18:32:06.979650	44.46	200	6086.97	3854.71	(240.6,242.9)
http://10.40.1.135/index13.html	2025-12-10 18:32:07.944272	2025-12-10 18:32:07.988960	50.84	200	4702.43	3765.82	(231.7,230.7)
http://10.40.1.135/index4.html	2025-12-10 18:32:08.945670	2025-12-10 18:32:08.991140	51.59	200	5061.61	3753.36	(217.3,226.5)
http://10.40.1.135/index28.html	2025-12-10 18:32:09.947015	2025-12-10 18:32:10.013241	71.73	200	924.91	3894.67	(220.1,241.3)
http://10.40.1.135/index1.html	2025-12-10 18:32:10.948347	2025-12-10 18:32:10.991423	48.88	200	3280.87	3830.83	(207.3,233.3)
http://10.40.1.135/index16.html	2025-12-10 18:32:11.949079	2025-12-10 18:32:11.990152	47.62	200	4421.69	3687.08	(212.8,219.3)
http://10.40.1.135/index1.html	2025-12-10 18:32:12.950455	2025-12-10 18:32:12.993359	49.52	200	3280.87	3670.05	(227.8,219.9)
http://10.40.1.135/index1.html	2025-12-10 18:32:13.951508	2025-12-10 18:32:13.973386	29.25	200	3280.87	3521.18	(233.0,205.8)
http://10.40.1.135/index3.html	2025-12-10 18:32:14.953004	2025-12-10 18:32:14.995751	50.77	200	8540.05	3391.24	(228.2,191.6)
http://10.40.1.135/index3.html	2025-12-10 18:32:15.954042	2025-12-10 18:32:15.995112	48.4	200	8540.05	3528.94	(220.1,204.3)
http://10.40.1.135/index1.html	2025-12-10 18:32:16.955103	2025-12-10 18:32:17.003285	54.97	200	3280.87	3637.04	(228.5,216.7)
http://10.40.1.135/index1.html	2025-12-10 18:32:17.956209	2025-12-10 18:32:18.004387	55.32	200	3280.87	3561.56	(243.0,212.7)
http://10.40.1.135/index13.html	2025-12-10 18:32:18.957667	2025-12-10 18:32:18.996655	45.43	200	4702.43	3706.93	(235.2,225.6)
http://10.40.1.135/index8.html	2025-12-10 18:32:19.958816	2025-12-10 18:32:20.007746	55.19	200	6086.97	3744.13	(247.8,233.8)
http://10.40.1.135/index1.html	2025-12-10 18:32:20.960180	2025-12-10 18:32:20.999388	45.35	200	3280.87	3767.79	(260.1,242.4)
http://10.40.1.135/index8.html	2025-12-10 18:32:21.961608	2025-12-10 18:32:22.010624	55.91	200	6086.97	3618.26	(268.7,230.1)
http://10.40.1.135/index1.html	2025-12-10 18:32:22.962225	2025-12-10 18:32:23.007110	51.91	200	3280.87	3590.75	(256.8,221.0)
http://10.40.1.135/index17.html	2025-12-10 18:32:23.964538	2025-12-10 18:32:24.007621	50.77	200	4156.75	3440.61	(262.1,206.9)
http://10.40.1.135/index3.html	2025-12-10 18:32:24.965781	2025-12-10 18:32:25.008741	51.39	200	8540.05	3309.79	(260.2,192.0)
http://10.40.1.135/index8.html	2025-12-10 18:32:25.967055	2025-12-10 18:32:26.008116	49.37	200	6086.97	3323.58	(245.5,188.7)
http://10.40.1.135/index10.html	2025-12-10 18:32:26.968522	2025-12-10 18:32:27.015459	55.64	200	3154.92	3253.78	(260.3,186.1)
http://10.40.1.135/index3.html	2025-12-10 18:32:27.968936	2025-12-10 18:32:28.015734	54.77	200	8540.05	3387.24	(249.5,196.5)
http://10.40.1.135/index6.html	2025-12-10 18:32:28.969815	2025-12-10 18:32:29.015627	53.91	200	2261.11	3378.02	(235.3,191.7)
http://10.40.1.135/index42.html	2025-12-10 18:32:29.971162	2025-12-10 18:32:30.022554	60.09	200	1404.11	3233.18	(242.5,178.5)
http://10.40.1.135/index5.html	2025-12-10 18:32:30.971970	2025-12-10 18:32:31.015996	53.22	200	5061.6	3156.23	(231.4,168.3)
http://10.40.1.135/index2.html	2025-12-10 18:32:31.973613	2025-12-10 18:32:32.019916	56.16	200	4336.15	3025.24	(241.1,156.9)
http://10.40.1.135/index40.html	2025-12-10 18:32:32.973923	2025-12-10 18:32:33.025738	61.79	200	8414.1	2979.13	(227.8,149.8)
http://10.40.1.135/index1.html	2025-12-10 18:32:33.975273	2025-12-10 18:32:34.017914	53.41	200	3280.87	2841.35	(223.6,135.4)
http://10.40.1.135/index1.html	2025-12-10 18:32:34.976013	2025-12-10 18:32:34.993364	27.84	200	3280.87	2862.86	(238.0,139.7)
http://10.40.1.135/index10.html	2025-12-10 18:32:35.977283	2025-12-10 18:32:36.019350	52.02	200	3154.92	3004.99	(240.1,154.6)
http://10.40.1.135/index29.html	2025-12-10 18:32:36.978794	2025-12-10 18:32:37.024445	54.84	200	5913.51	3155.06	(236.4,169.1)
http://10.40.1.135/index10.html	2025-12-10 18:32:37.979976	2025-12-10 18:32:38.024463	53.5	200	3154.92	3194.12	(249.6,176.4)
http://10.40.1.135/index1.html	2025-12-10 18:32:38.982106	2025-12-10 18:32:39.031633	57.85	200	3280.87	3332.37	(251.2,191.3)
http://10.40.1.135/index2.html	2025-12-10 18:32:39.983203	2025-12-10 18:32:40.029470	54.38	200	4336.15	3373.73	(263.3,200.2)
http://10.40.1.135/index5.html	2025-12-10 18:32:40.984462	2025-12-10 18:32:41.032960	55.87	200	5061.6	3519.73	(260.7,215.0)
http://10.40.1.135/index1.html	2025-12-10 18:32:41.985181	2025-12-10 18:32:42.028380	50.92	200	3280.87	3451.07	(250.8,203.7)
http://10.40.1.135/index43.html	2025-12-10 18:32:42.986027	2025-12-10 18:32:43.032372	53.38	200	2033.87	3588.9	(240.9,214.9)
http://10.40.1.135/index4.html	2025-12-10 18:32:43.987016	2025-12-10 18:32:44.028748	48.11	200	5061.61	3721.63	(230.6,225.9)
http://10.40.1.135/index2.html	2025-12-10 18:32:44.988299	2025-12-10 18:32:45.033790	51.22	200	4336.15	3851.51	(234.4,240.4)
http://10.40.1.135/index37.html	2025-12-10 18:32:45.988807	2025-12-10 18:32:46.044453	60.63	200	6537.33	3998.24	(232.8,255.3)
http://10.40.1.135/index2.html	2025-12-10 18:32:46.990054	2025-12-10 18:32:47.033926	49.39	200	4336.15	3892.3	(246.6,249.5)
http://10.40.1.135/index4.html	2025-12-10 18:32:47.991188	2025-12-10 18:32:48.037192	51.92	200	5061.61	3813.48	(237.6,237.5)
http://10.40.1.135/index4.html	2025-12-10 18:32:48.992244	2025-12-10 18:32:49.036695	50.61	200	5061.61	3752.25	(226.0,228.0)
http://10.40.1.135/index3.html	2025-12-10 18:32:49.994627	2025-12-10 18:32:50.040681	51.72	200	8540.05	3862.54	(233.2,241.2)
http://10.40.1.135/index1.html	2025-12-10 18:32:50.996177	2025-12-10 18:32:51.061198	71.36	200	3280.87	3724.29	(231.2,226.3)
http://10.40.1.135/index34.html	2025-12-10 18:32:51.996953	2025-12-10 18:32:52.038818	47.72	200	6932.42	3824.97	(239.0,239.1)
http://10.40.1.135/index6.html	2025-12-10 18:32:52.997890	2025-12-10 18:32:53.040169	47.48	200	2261.11	3956.19	(228.1,249.5)
http://10.40.1.135/index1.html	2025-12-10 18:32:53.998969	2025-12-10 18:32:54.045700	52.12	200	3280.87	3897.26	(243.0,248.5)
http://10.40.1.135/index10.html	2025-12-10 18:32:55.000085	2025-12-10 18:32:55.042027	47.82	200	3154.92	3820.55	(233.5,236.9)
http://10.40.1.135/index2.html	2025-12-10 18:32:56.000785	2025-12-10 18:32:56.077060	82.23	200	4336.15	3800.65	(219.4,231.6)
http://10.40.1.135/index14.html	2025-12-10 18:32:57.002094	2025-12-10 18:32:57.045240	49.77	200	1955.59	3671.97	(213.4,217.9)
http://10.40.1.135/index13.html	2025-12-10 18:32:58.002992	2025-12-10 18:32:58.046609	50.91	200	4702.43	3537.31	(221.7,205.3)
http://10.40.1.135/index18.html	2025-12-10 18:32:59.003782	2025-12-10 18:32:59.048009	52.27	200	6370.79	3387.2	(224.1,190.5)
http://10.40.1.135/index36.html	2025-12-10 18:33:00.005038	2025-12-10 18:33:00.049736	52.02	200	2759.78	3530.87	(226.1,205.4)
http://10.40.1.135/index3.html	2025-12-10 18:33:01.006094	2025-12-10 18:33:01.053102	54.36	200	8540.05	3526.67	(240.8,208.4)
