URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
http://10.40.1.135/index4.html	2025-12-01 17:49:00.352360	2025-12-01 17:49:00.594733	242.35	200	5061.61	3384.29
http://10.40.1.135/index38.html	2025-12-01 17:49:01.355870	2025-12-01 17:49:01.415499	59.38	200	2753.35	3721.22
http://10.40.1.135/index14.html	2025-12-01 17:49:02.359913	2025-12-01 17:49:02.401571	41.63	200	1955.59	7546.97
http://10.40.1.135/index8.html	2025-12-01 17:49:03.360865	2025-12-01 17:49:03.401793	40.91	200	6086.97	8722.9
http://10.40.1.135/index1.html	2025-12-01 17:49:04.362187	2025-12-01 17:49:04.404118	41.91	200	3280.87	7615.37
http://10.40.1.135/index1.html	2025-12-01 17:49:05.362953	2025-12-01 17:49:05.383059	20.09	200	3280.87	10235.24
http://10.40.1.135/index1.html	2025-12-01 17:49:06.367904	2025-12-01 17:49:06.385240	17.28	200	3280.87	8864.82
http://10.40.1.135/index25.html	2025-12-01 17:49:07.369739	2025-12-01 17:49:07.415256	45.5	200	3605.24	8173.78
http://10.40.1.135/index8.html	2025-12-01 17:49:08.370705	2025-12-01 17:49:08.389014	18.29	200	6086.97	7903.5
http://10.40.1.135/index13.html	2025-12-01 17:49:09.372060	2025-12-01 17:49:09.411582	39.5	200	4702.43	9272.32
http://10.40.1.135/index1.html	2025-12-01 17:49:10.374028	2025-12-01 17:49:10.389928	15.88	200	3280.87	8895.98
http://10.40.1.135/index42.html	2025-12-01 17:49:11.373801	2025-12-01 17:49:11.418266	44.44	200	1404.11	6515.87
http://10.40.1.135/index21.html	2025-12-01 17:49:12.375059	2025-12-01 17:49:12.416808	41.72	200	8906.33	8557.81
http://10.40.1.135/index2.html	2025-12-01 17:49:13.375839	2025-12-01 17:49:13.413100	37.24	200	4336.15	10340.09
http://10.40.1.135/index2.html	2025-12-01 17:49:14.376930	2025-12-01 17:49:14.398840	21.81	200	4336.15	8388.89
http://10.40.1.135/index2.html	2025-12-01 17:49:15.378047	2025-12-01 17:49:15.398037	19.97	200	4336.15	9052.07
http://10.40.1.135/index3.html	2025-12-01 17:49:16.379041	2025-12-01 17:49:16.421606	42.55	200	8540.05	6839.06
http://10.40.1.135/index6.html	2025-12-01 17:49:17.380523	2025-12-01 17:49:17.421970	41.43	200	2261.11	7468.99
http://10.40.1.135/index5.html	2025-12-01 17:49:18.382027	2025-12-01 17:49:18.425257	43.21	200	5061.6	8476.98
http://10.40.1.135/index3.html	2025-12-01 17:49:19.382894	2025-12-01 17:49:19.401800	18.81	200	8540.05	8916.36
http://10.40.1.135/index9.html	2025-12-01 17:49:20.383947	2025-12-01 17:49:20.428084	44.01	200	2820.52	6070.85
http://10.40.1.135/index1.html	2025-12-01 17:49:21.385121	2025-12-01 17:49:21.401307	16.17	200	3280.87	9602.41
http://10.40.1.135/index3.html	2025-12-01 17:49:22.386144	2025-12-01 17:49:22.403655	17.49	200	8540.05	10357.64
http://10.40.1.135/index4.html	2025-12-01 17:49:23.387077	2025-12-01 17:49:23.412655	25.56	200	5061.61	10786.2
http://10.40.1.135/index5.html	2025-12-01 17:49:24.389129	2025-12-01 17:49:24.408005	18.86	200	5061.6	9591.82
http://10.40.1.135/index17.html	2025-12-01 17:49:25.389962	2025-12-01 17:49:25.434250	44.26	200	4156.75	8991.07
