URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)	UE Position (x,y)
http://10.40.1.135/index3.html	2025-12-10 18:34:22.746927	2025-12-10 18:34:22.923086	181.0	200	8540.05	4445.51	(0.1,100.0)
http://10.40.1.135/index11.html	2025-12-10 18:34:23.748658	2025-12-10 18:34:23.830562	87.25	200	7659.31	4698.69	(40.2,100.0)
http://10.40.1.135/index2.html	2025-12-10 18:34:24.759175	2025-12-10 18:34:24.824259	71.48	200	4336.15	4784.59	(80.6,100.0)
http://10.40.1.135/index3.html	2025-12-10 18:34:25.762958	2025-12-10 18:34:25.800563	45.43	200	8540.05	10988.63	(120.8,100.0)
http://10.40.1.135/index7.html	2025-12-10 18:34:26.764159	2025-12-10 18:34:26.809080	54.37	200	8054.41	10068.19	(160.8,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:34:27.765498	2025-12-10 18:34:27.807595	53.29	200	3280.87	10071.83	(200.8,100.0)
HO::cell_A->cell_B	2025-12-10 18:34:28.766182	UE_Pos:(240.9,100.0)				
http://10.40.1.135/index2.html	2025-12-10 18:34:28.866807	2025-12-10 18:34:28.907880	50.45	200	4336.15	9818.88	(240.9,100.0)
http://10.40.1.135/index30.html	2025-12-10 18:34:29.766837	2025-12-10 18:34:29.810727	51.4	200	3712.38	9755.64	(280.9,100.0)
http://10.40.1.135/index18.html	2025-12-10 18:34:30.767871	2025-12-10 18:34:30.806603	45.09	200	6370.79	5846.88	(320.9,100.0)
http://10.40.1.135/index16.html	2025-12-10 18:34:31.769829	2025-12-10 18:34:31.814338	49.85	200	4421.69	10158.16	(361.0,100.0)
http://10.40.1.135/index14.html	2025-12-10 18:34:32.770827	2025-12-10 18:34:32.812301	46.46	200	1955.59	8390.2	(401.1,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:34:33.772100	2025-12-10 18:34:33.816639	49.93	200	3280.87	8946.17	(441.1,100.0)
http://10.40.1.135/index25.html	2025-12-10 18:34:34.773093	2025-12-10 18:34:34.813441	46.77	200	3605.24	9990.71	(481.2,100.0)
http://10.40.1.135/index6.html	2025-12-10 18:34:35.773773	2025-12-10 18:34:35.817153	51.19	200	2261.11	7872.98	(521.2,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:34:36.775085	2025-12-10 18:34:36.819657	54.03	200	3280.87	5949.09	(561.2,100.0)
http://10.40.1.135/index5.html	2025-12-10 18:34:37.776099	2025-12-10 18:34:37.815032	50.15	200	5061.6	10229.9	(601.3,100.0)
http://10.40.1.135/index2.html	2025-12-10 18:34:38.777311	2025-12-10 18:34:38.820941	56.65	200	4336.15	10446.99	(641.3,100.0)
