URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)	BTS	Dist(m)	Penalty(ms)	Position
http://10.40.1.135/index3.html	2025-12-11 18:48:00.176966	2025-12-11 18:48:00.390119	213.13	200	8540.05	5264.42	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index36.html	2025-12-11 18:48:03.014955	2025-12-11 18:48:03.058892	43.92	200	2759.78	6829.6	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index12.html	2025-12-11 18:48:04.465909	2025-12-11 18:48:04.509009	43.08	200	4989.81	9587.04	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index7.html	2025-12-11 18:48:06.031656	2025-12-11 18:48:06.073998	42.32	200	8054.41	8634.34	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 18:48:08.008643	2025-12-11 18:48:08.051674	43.01	200	3280.87	8858.23	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 18:48:09.423689	2025-12-11 18:48:09.440267	16.56	200	3280.87	9031.58	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 18:48:10.805316	2025-12-11 18:48:10.825760	20.41	200	3280.87	10105.49	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index22.html	2025-12-11 18:48:12.151899	2025-12-11 18:48:12.195731	43.81	200	5607.98	9664.06	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index7.html	2025-12-11 18:48:13.778613	2025-12-11 18:48:13.821419	42.79	200	8054.41	10318.21	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index11.html	2025-12-11 18:48:15.603586	2025-12-11 18:48:15.651659	48.05	200	7659.31	9853.94	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 18:48:17.430591	2025-12-11 18:48:17.474864	44.25	200	3280.87	8543.31	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index41.html	2025-12-11 18:48:18.861726	2025-12-11 18:48:18.907459	45.71	200	3220.16	8211.03	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index19.html	2025-12-11 18:48:20.300676	2025-12-11 18:48:20.343250	42.55	200	5392.91	10164.07	A	0.0	0.0	(0.0, 0.0)
