URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)	UE Position (x,y)
http://10.40.1.135/index3.html	2025-12-10 18:19:08.856683	2025-12-10 18:19:08.988478	131.79	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index3.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f4393820>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(0.1,100.0)
http://10.40.1.135/index11.html	2025-12-10 18:19:09.858110	2025-12-10 18:19:10.018876	160.77	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index11.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f4393e80>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(30.1,100.0)
http://10.40.1.135/index2.html	2025-12-10 18:19:10.858823	2025-12-10 18:19:11.024485	165.66	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index2.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f4393f40>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(60.1,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:19:11.859976	2025-12-10 18:19:11.982234	122.26	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index1.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f4393820>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(90.2,100.0)
http://10.40.1.135/index2.html	2025-12-10 18:19:12.860912	2025-12-10 18:19:13.014844	153.93	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index2.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f4418460>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(120.2,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:19:13.862339	2025-12-10 18:19:13.934146	71.81	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index1.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f4418940>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(150.2,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:19:14.862950	2025-12-10 18:19:15.001081	138.13	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index1.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f4418e20>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(180.2,100.0)
http://10.40.1.135/index9.html	2025-12-10 18:19:15.863972	2025-12-10 18:19:16.017396	153.42	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index9.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f4419300>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(210.3,100.0)
http://10.40.1.135/index41.html	2025-12-10 18:19:16.864869	2025-12-10 18:19:17.013066	148.2	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index41.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f4419810>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(240.3,100.0)
HO::cell_A->cell_B	2025-12-10 18:19:17.866309	UE_Pos:(270.3,100.0)				
http://10.40.1.135/index3.html	2025-12-10 18:19:17.966981	2025-12-10 18:19:17.983594	16.61	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index3.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f4419d20>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(270.3,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:19:18.867337	2025-12-10 18:19:18.939531	72.19	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index1.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f4392f50>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(300.4,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:19:19.867916	2025-12-10 18:19:19.998110	130.19	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index1.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f4419b40>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(330.4,100.0)
http://10.40.1.135/index3.html	2025-12-10 18:19:20.869140	2025-12-10 18:19:21.031123	161.98	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index3.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f44195d0>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(360.4,100.0)
http://10.40.1.135/index8.html	2025-12-10 18:19:21.870053	2025-12-10 18:19:21.885332	15.28	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index8.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f4418bb0>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(390.5,100.0)
http://10.40.1.135/index13.html	2025-12-10 18:19:22.870813	2025-12-10 18:19:22.965126	94.31	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index13.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f4418790>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(420.5,100.0)
http://10.40.1.135/index4.html	2025-12-10 18:19:23.872032	2025-12-10 18:19:23.995173	123.14	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index4.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f4418460>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(450.5,100.0)
http://10.40.1.135/index28.html	2025-12-10 18:19:24.872813	2025-12-10 18:19:25.004005	131.19	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index28.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f4419ff0>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(480.5,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:19:25.873834	2025-12-10 18:19:26.048428	174.59	Failed: HTTPConnectionPool(host='10.40.1.135', port=80): Max retries exceeded with url: /index1.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c54f441a4d0>: Failed to establish a new connection: [Errno 111] Connection refused'))	0	0	(510.6,100.0)
