Queue #	URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
1	http://10.40.1.135/index9.html	2025-12-08 18:31:44.798650	2025-12-08 18:31:45.049905	250.65	200	2820.52	3268.25
2	http://10.40.1.135/index45.html	2025-12-08 18:31:45.801909	2025-12-08 18:31:45.858899	56.97	200	4648.97	6549.85
3	http://10.40.1.135/index26.html	2025-12-08 18:31:46.805043	2025-12-08 18:31:46.847881	42.82	200	4588.25	10009.78
4	http://10.40.1.135/index18.html	2025-12-08 18:31:47.806166	2025-12-08 18:31:47.848749	42.56	200	6370.79	10435.9
5	http://10.40.1.135/index3.html	2025-12-08 18:31:48.806848	2025-12-08 18:31:48.851237	44.36	200	8540.05	10344.48
6	http://10.40.1.135/index3.html	2025-12-08 18:31:49.807825	2025-12-08 18:31:49.823650	15.8	200	8540.05	11469.24
7	http://10.40.1.135/index1.html	2025-12-08 18:31:50.809453	2025-12-08 18:31:50.855872	46.4	200	3280.87	8945.1
8	http://10.40.1.135/index37.html	2025-12-08 18:31:51.811232	2025-12-08 18:31:51.855561	44.3	200	6537.33	5849.83
9	http://10.40.1.135/index18.html	2025-12-08 18:31:52.811974	2025-12-08 18:31:52.831105	19.1	200	6370.79	9265.39
10	http://10.40.1.135/index25.html	2025-12-08 18:31:53.813166	2025-12-08 18:31:53.848957	35.77	200	3605.24	9344.48
11	http://10.40.1.135/index1.html	2025-12-08 18:31:54.813765	2025-12-08 18:31:54.838958	25.17	200	3280.87	5445.01
12	http://10.40.1.135/index47.html	2025-12-08 18:31:55.814916	2025-12-08 18:31:55.868988	54.05	200	3239.0	6458.09
13	http://10.40.1.135/index34.html	2025-12-08 18:31:56.815778	2025-12-08 18:31:56.856172	40.34	200	6932.42	8750.33
14	http://10.40.1.135/index4.html	2025-12-08 18:31:57.816886	2025-12-08 18:31:57.851887	34.97	200	5061.61	6357.85
15	http://10.40.1.135/index4.html	2025-12-08 18:31:58.818078	2025-12-08 18:31:58.835698	17.6	200	5061.61	7124.73
16	http://10.40.1.135/index4.html	2025-12-08 18:31:59.818961	2025-12-08 18:31:59.831390	12.41	200	5061.61	7058.62
17	http://10.40.1.135/index6.html	2025-12-08 18:32:00.819999	2025-12-08 18:32:00.861730	41.7	200	2261.11	7622.36
18	http://10.40.1.135/index15.html	2025-12-08 18:32:01.820801	2025-12-08 18:32:01.864748	43.92	200	7720.04	10333.98
19	http://10.40.1.135/index11.html	2025-12-08 18:32:02.822577	2025-12-08 18:32:02.869193	46.6	200	7659.31	10359.3
20	http://10.40.1.135/index6.html	2025-12-08 18:32:03.823887	2025-12-08 18:32:03.841843	17.93	200	2261.11	8172.04
21	http://10.40.1.135/index19.html	2025-12-08 18:32:04.824776	2025-12-08 18:32:04.868255	43.46	200	5392.91	7847.69
22	http://10.40.1.135/index3.html	2025-12-08 18:32:05.825838	2025-12-08 18:32:05.844529	18.66	200	8540.05	10996.11
23	http://10.40.1.135/index6.html	2025-12-08 18:32:06.826808	2025-12-08 18:32:06.845017	18.19	200	2261.11	8474.39
