Queue #	URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
2	http://10.40.1.135/index44.html	2025-12-04 23:16:30.927196	2025-12-04 23:16:31.005975	78.76	200	2033.85	2755.32
1	http://10.40.1.135/index7.html	2025-12-04 23:16:29.923874	2025-12-04 23:16:30.052949	129.05	200	8054.41	4483.06
3	http://10.40.1.135/index23.html	2025-12-04 23:16:31.933906	2025-12-04 23:16:31.977962	44.04	200	3904.67	9898.22
4	http://10.40.1.135/index15.html	2025-12-04 23:16:32.935021	2025-12-04 23:16:32.990104	55.03	200	7720.04	10171.14
5	http://10.40.1.135/index2.html	2025-12-04 23:16:33.935886	2025-12-04 23:16:33.978016	42.11	200	4336.15	10519.93
6	http://10.40.1.135/index2.html	2025-12-04 23:16:34.937208	2025-12-04 23:16:34.960071	22.84	200	4336.15	10728.61
7	http://10.40.1.135/index1.html	2025-12-04 23:16:35.938027	2025-12-04 23:16:35.982230	44.18	200	3280.87	7212.68
8	http://10.40.1.135/index34.html	2025-12-04 23:16:36.938778	2025-12-04 23:16:36.980977	42.17	200	6932.42	10900.19
9	http://10.40.1.135/index15.html	2025-12-04 23:16:37.940240	2025-12-04 23:16:37.956164	15.9	200	7720.04	11268.85
10	http://10.40.1.135/index21.html	2025-12-04 23:16:38.940844	2025-12-04 23:16:38.984621	43.76	200	8906.33	10757.05
11	http://10.40.1.135/index1.html	2025-12-04 23:16:39.942051	2025-12-04 23:16:39.960607	18.54	200	3280.87	11039.35
12	http://10.40.1.135/index46.html	2025-12-04 23:16:40.942999	2025-12-04 23:16:41.005598	62.57	200	8054.42	10345.52
13	http://10.40.1.135/index31.html	2025-12-04 23:16:41.944001	2025-12-04 23:16:41.989434	45.41	200	6818.25	10782.71
14	http://10.40.1.135/index3.html	2025-12-04 23:16:42.944749	2025-12-04 23:16:42.988406	43.63	200	8540.05	10587.11
15	http://10.40.1.135/index3.html	2025-12-04 23:16:43.946074	2025-12-04 23:16:43.964302	18.21	200	8540.05	9697.38
16	http://10.40.1.135/index3.html	2025-12-04 23:16:44.947068	2025-12-04 23:16:44.964026	16.93	200	8540.05	9702.27
17	http://10.40.1.135/index5.html	2025-12-04 23:16:45.947708	2025-12-04 23:16:45.989424	41.68	200	5061.6	9856.66
18	http://10.40.1.135/index12.html	2025-12-04 23:16:46.949091	2025-12-04 23:16:46.993489	44.21	200	4989.81	10542.27
19	http://10.40.1.135/index8.html	2025-12-04 23:16:47.950650	2025-12-04 23:16:47.995483	44.81	200	6086.97	10839.8
20	http://10.40.1.135/index5.html	2025-12-04 23:16:48.952549	2025-12-04 23:16:48.969881	17.31	200	5061.6	11117.38
21	http://10.40.1.135/index16.html	2025-12-04 23:16:49.953771	2025-12-04 23:16:50.001655	47.86	200	4421.69	9548.08
22	http://10.40.1.135/index2.html	2025-12-04 23:16:50.954723	2025-12-04 23:16:50.973676	18.93	200	4336.15	10824.32
23	http://10.40.1.135/index5.html	2025-12-04 23:16:51.955812	2025-12-04 23:16:51.973120	17.25	200	5061.6	9032.43
24	http://10.40.1.135/index7.html	2025-12-04 23:16:52.956830	2025-12-04 23:16:52.974440	17.58	200	8054.41	10027.69
25	http://10.40.1.135/index9.html	2025-12-04 23:16:53.957814	2025-12-04 23:16:53.998585	40.75	200	2820.52	7234.15
26	http://10.40.1.135/index27.html	2025-12-04 23:16:54.959367	2025-12-04 23:16:54.999841	40.45	200	619.37	4634.23
27	http://10.40.1.135/index3.html	2025-12-04 23:16:55.959829	2025-12-04 23:16:55.977502	17.65	200	8540.05	10433.2
28	http://10.40.1.135/index11.html	2025-12-04 23:16:56.961023	2025-12-04 23:16:57.002857	41.81	200	7659.31	10446.98
29	http://10.40.1.135/index15.html	2025-12-04 23:16:57.961734	2025-12-04 23:16:57.980702	18.95	200	7720.04	10275.17
30	http://10.40.1.135/index1.html	2025-12-04 23:16:58.963062	2025-12-04 23:16:58.974793	11.71	200	3280.87	10973.88
31	http://10.40.1.135/index15.html	2025-12-04 23:16:59.964003	2025-12-04 23:16:59.983519	19.49	200	7720.04	10758.21
32	http://10.40.1.135/index3.html	2025-12-04 23:17:00.965187	2025-12-04 23:17:00.983481	18.27	200	8540.05	11157.23
33	http://10.40.1.135/index1.html	2025-12-04 23:17:01.965803	2025-12-04 23:17:01.984718	18.89	200	3280.87	10957.96
34	http://10.40.1.135/index44.html	2025-12-04 23:17:02.966861	2025-12-04 23:17:02.986892	20.01	200	2033.85	8794.4
35	http://10.40.1.135/index46.html	2025-12-04 23:17:03.967982	2025-12-04 23:17:03.984186	16.19	200	8054.42	11022.52
36	http://10.40.1.135/index29.html	2025-12-04 23:17:04.968701	2025-12-04 23:17:05.012725	44.0	200	5913.51	8808.4
37	http://10.40.1.135/index5.html	2025-12-04 23:17:05.969790	2025-12-04 23:17:05.985652	15.84	200	5061.6	10414.73
38	http://10.40.1.135/index2.html	2025-12-04 23:17:06.970916	2025-12-04 23:17:06.993369	22.43	200	4336.15	8327.97
39	http://10.40.1.135/index20.html	2025-12-04 23:17:07.972113	2025-12-04 23:17:08.012033	39.86	200	2759.79	5581.0
40	http://10.40.1.135/index9.html	2025-12-04 23:17:08.972906	2025-12-04 23:17:08.990466	17.54	200	2820.52	6931.48
41	http://10.40.1.135/index2.html	2025-12-04 23:17:09.973852	2025-12-04 23:17:09.994921	21.05	200	4336.15	9844.82
42	http://10.40.1.135/index11.html	2025-12-04 23:17:10.974805	2025-12-04 23:17:10.993055	18.23	200	7659.31	10834.26
43	http://10.40.1.135/index1.html	2025-12-04 23:17:11.975988	2025-12-04 23:17:11.995495	19.48	200	3280.87	10087.67
44	http://10.40.1.135/index39.html	2025-12-04 23:17:12.978786	2025-12-04 23:17:13.024262	45.46	200	7720.03	10345.39
45	http://10.40.1.135/index4.html	2025-12-04 23:17:13.980200	2025-12-04 23:17:14.017167	36.95	200	5061.61	10416.29
46	http://10.40.1.135/index18.html	2025-12-04 23:17:14.980869	2025-12-04 23:17:15.023806	42.89	200	6370.79	10116.86
47	http://10.40.1.135/index5.html	2025-12-04 23:17:15.982051	2025-12-04 23:17:16.005057	22.99	200	5061.6	10735.43
48	http://10.40.1.135/index11.html	2025-12-04 23:17:16.982840	2025-12-04 23:17:17.005151	22.29	200	7659.31	11289.11
49	http://10.40.1.135/index13.html	2025-12-04 23:17:17.984210	2025-12-04 23:17:18.034904	50.67	200	4702.43	9865.96
