Queue #	URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
2	http://10.40.1.135/index44.html	2025-12-05 08:31:31.727259	2025-12-05 08:31:31.869040	141.76	200	2033.85	2678.82
1	http://10.40.1.135/index7.html	2025-12-05 08:31:30.725261	2025-12-05 08:31:30.976030	250.74	200	8054.41	4531.36
3	http://10.40.1.135/index23.html	2025-12-05 08:31:32.735308	2025-12-05 08:31:32.772631	37.29	200	3904.67	8865.44
4	http://10.40.1.135/index15.html	2025-12-05 08:31:33.736261	2025-12-05 08:31:33.780661	44.37	200	7720.04	10106.08
5	http://10.40.1.135/index2.html	2025-12-05 08:31:34.739708	2025-12-05 08:31:34.777468	37.74	200	4336.15	10384.47
6	http://10.40.1.135/index2.html	2025-12-05 08:31:35.742009	2025-12-05 08:31:35.763789	21.76	200	4336.15	9949.37
7	http://10.40.1.135/index1.html	2025-12-05 08:31:36.742840	2025-12-05 08:31:36.786059	43.2	200	3280.87	8692.19
8	http://10.40.1.135/index34.html	2025-12-05 08:31:37.743939	2025-12-05 08:31:37.787718	43.76	200	6932.42	10792.72
9	http://10.40.1.135/index15.html	2025-12-05 08:31:38.744852	2025-12-05 08:31:38.763787	18.91	200	7720.04	11303.25
10	http://10.40.1.135/index21.html	2025-12-05 08:31:39.745894	2025-12-05 08:31:39.789988	44.07	200	8906.33	10876.12
11	http://10.40.1.135/index1.html	2025-12-05 08:31:40.747306	2025-12-05 08:31:40.761956	14.62	200	3280.87	10878.17
12	http://10.40.1.135/index46.html	2025-12-05 08:31:41.748741	2025-12-05 08:31:41.793633	44.87	200	8054.42	10408.72
13	http://10.40.1.135/index31.html	2025-12-05 08:31:42.749729	2025-12-05 08:31:42.791489	41.74	200	6818.25	11225.55
14	http://10.40.1.135/index3.html	2025-12-05 08:31:43.750889	2025-12-05 08:31:43.789681	38.77	200	8540.05	5083.75
15	http://10.40.1.135/index3.html	2025-12-05 08:31:44.751736	2025-12-05 08:31:44.763336	11.57	200	8540.05	6559.69
16	http://10.40.1.135/index3.html	2025-12-05 08:31:45.753748	2025-12-05 08:31:45.767744	13.97	200	8540.05	8975.7
17	http://10.40.1.135/index5.html	2025-12-05 08:31:46.755003	2025-12-05 08:31:46.798649	43.62	200	5061.6	7913.33
18	http://10.40.1.135/index12.html	2025-12-05 08:31:47.755930	2025-12-05 08:31:47.808565	52.45	200	4989.81	8670.64
19	http://10.40.1.135/index8.html	2025-12-05 08:31:48.757360	2025-12-05 08:31:48.796354	38.96	200	6086.97	9396.23
20	http://10.40.1.135/index5.html	2025-12-05 08:31:49.758123	2025-12-05 08:31:49.773829	15.68	200	5061.6	8167.29
21	http://10.40.1.135/index16.html	2025-12-05 08:31:50.758903	2025-12-05 08:31:50.800755	41.81	200	4421.69	8452.69
