Queue #	URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
1	http://10.40.1.135/index12.html	2025-12-05 17:54:17.583084	2025-12-05 17:54:17.684962	101.86	200	4989.81	4016.98
2	http://10.40.1.135/index47.html	2025-12-05 17:54:18.585442	2025-12-05 17:54:18.741302	155.78	200	3239.0	4859.03
3	http://10.40.1.135/index31.html	2025-12-05 17:54:19.589482	2025-12-05 17:54:19.638765	49.26	200	6818.25	9401.62
4	http://10.40.1.135/index23.html	2025-12-05 17:54:20.590767	2025-12-05 17:54:20.632378	41.59	200	3904.67	9888.82
5	http://10.40.1.135/index4.html	2025-12-05 17:54:21.592115	2025-12-05 17:54:21.639207	47.06	200	5061.61	9674.67
6	http://10.40.1.135/index4.html	2025-12-05 17:54:22.592768	2025-12-05 17:54:22.611404	18.61	200	5061.61	7886.82
7	http://10.40.1.135/index2.html	2025-12-05 17:54:23.594020	2025-12-05 17:54:23.637927	43.89	200	4336.15	6719.66
8	http://10.40.1.135/index40.html	2025-12-05 17:54:24.594735	2025-12-05 17:54:24.639780	45.02	200	8414.1	10117.91
9	http://10.40.1.135/index23.html	2025-12-05 17:54:25.596042	2025-12-05 17:54:25.612382	16.32	200	3904.67	8448.57
10	http://10.40.1.135/index30.html	2025-12-05 17:54:26.596974	2025-12-05 17:54:26.642028	45.03	200	3712.38	6743.61
11	http://10.40.1.135/index1.html	2025-12-05 17:54:27.597795	2025-12-05 17:54:27.639380	41.56	200	3280.87	6458.05
12	http://10.40.1.135/index48.html	2025-12-05 17:54:28.599193	2025-12-05 17:54:28.649709	50.48	200	4756.1	9403.41
13	http://10.40.1.135/index38.html	2025-12-05 17:54:29.599760	2025-12-05 17:54:29.643946	44.16	200	2753.35	9078.26
14	http://10.40.1.135/index6.html	2025-12-05 17:54:30.600749	2025-12-05 17:54:30.647537	46.76	200	2261.11	6935.85
15	http://10.40.1.135/index5.html	2025-12-05 17:54:31.602373	2025-12-05 17:54:31.648223	45.81	200	5061.6	8386.22
16	http://10.40.1.135/index5.html	2025-12-05 17:54:32.603420	2025-12-05 17:54:32.623652	20.21	200	5061.6	10498.38
17	http://10.40.1.135/index9.html	2025-12-05 17:54:33.604232	2025-12-05 17:54:33.646005	41.75	200	2820.52	6448.29
18	http://10.40.1.135/index19.html	2025-12-05 17:54:34.604833	2025-12-05 17:54:34.650642	45.79	200	5392.91	8898.12
19	http://10.40.1.135/index15.html	2025-12-05 17:54:35.606155	2025-12-05 17:54:35.650639	44.45	200	7720.04	11097.59
20	http://10.40.1.135/index9.html	2025-12-05 17:54:36.607150	2025-12-05 17:54:36.623854	16.67	200	2820.52	9546.18
21	http://10.40.1.135/index24.html	2025-12-05 17:54:37.608072	2025-12-05 17:54:37.655870	47.76	200	4648.98	9182.77
22	http://10.40.1.135/index4.html	2025-12-05 17:54:38.609106	2025-12-05 17:54:38.628732	19.61	200	5061.61	10234.13
23	http://10.40.1.135/index9.html	2025-12-05 17:54:39.610029	2025-12-05 17:54:39.633126	23.07	200	2820.52	8650.45
24	http://10.40.1.135/index12.html	2025-12-05 17:54:40.610804	2025-12-05 17:54:40.629024	18.2	200	4989.81	10283.04
25	http://10.40.1.135/index16.html	2025-12-05 17:54:41.613087	2025-12-05 17:54:41.655060	41.95	200	4421.69	9734.72
26	http://10.40.1.135/index35.html	2025-12-05 17:54:42.614054	2025-12-05 17:54:42.659032	44.94	200	2261.12	6901.26
27	http://10.40.1.135/index6.html	2025-12-05 17:54:43.615000	2025-12-05 17:54:43.642649	27.57	200	2261.11	8482.14
28	http://10.40.1.135/index19.html	2025-12-05 17:54:44.615773	2025-12-05 17:54:44.630311	14.52	200	5392.91	9382.67
29	http://10.40.1.135/index23.html	2025-12-05 17:54:45.616707	2025-12-05 17:54:45.643107	26.38	200	3904.67	9312.91
30	http://10.40.1.135/index2.html	2025-12-05 17:54:46.618336	2025-12-05 17:54:46.638470	20.12	200	4336.15	9201.99
31	http://10.40.1.135/index24.html	2025-12-05 17:54:47.619067	2025-12-05 17:54:47.638886	19.52	200	4648.98	11199.66
32	http://10.40.1.135/index5.html	2025-12-05 17:54:48.619787	2025-12-05 17:54:48.640879	21.07	200	5061.6	10967.97
33	http://10.40.1.135/index2.html	2025-12-05 17:54:49.621606	2025-12-05 17:54:49.642027	20.4	200	4336.15	8346.66
34	http://10.40.1.135/index47.html	2025-12-05 17:54:50.622967	2025-12-05 17:54:50.643189	20.2	200	3239.0	8429.46
35	http://10.40.1.135/index48.html	2025-12-05 17:54:51.623944	2025-12-05 17:54:51.642746	18.78	200	4756.1	5332.12
36	http://10.40.1.135/index36.html	2025-12-05 17:54:52.624995	2025-12-05 17:54:52.667592	42.58	200	2759.78	6770.45
37	http://10.40.1.135/index9.html	2025-12-05 17:54:53.626048	2025-12-05 17:54:53.642715	16.64	200	2820.52	5536.68
38	http://10.40.1.135/index3.html	2025-12-05 17:54:54.627142	2025-12-05 17:54:54.670561	43.4	200	8540.05	9534.71
39	http://10.40.1.135/index28.html	2025-12-05 17:54:55.628241	2025-12-05 17:54:55.664105	35.77	200	924.91	6143.11
40	http://10.40.1.135/index15.html	2025-12-05 17:54:56.628997	2025-12-05 17:54:56.645771	16.76	200	7720.04	8865.14
41	http://10.40.1.135/index3.html	2025-12-05 17:54:57.629725	2025-12-05 17:54:57.647116	17.37	200	8540.05	10890.61
42	http://10.40.1.135/index18.html	2025-12-05 17:54:58.631175	2025-12-05 17:54:58.676185	44.83	200	6370.79	10258.99
43	http://10.40.1.135/index1.html	2025-12-05 17:54:59.633073	2025-12-05 17:54:59.640977	7.88	200	3280.87	8674.92
44	http://10.40.1.135/index44.html	2025-12-05 17:55:00.634024	2025-12-05 17:55:00.678400	44.35	200	2033.85	7916.89
45	http://10.40.1.135/index8.html	2025-12-05 17:55:01.634910	2025-12-05 17:55:01.681466	46.53	200	6086.97	10220.53
46	http://10.40.1.135/index27.html	2025-12-05 17:55:02.636748	2025-12-05 17:55:02.685022	48.25	200	619.37	5237.71
47	http://10.40.1.135/index10.html	2025-12-05 17:55:03.637783	2025-12-05 17:55:03.682132	44.33	200	3154.92	7507.47
48	http://10.40.1.135/index19.html	2025-12-05 17:55:04.638905	2025-12-05 17:55:04.658354	19.43	200	5392.91	10365.94
49	http://10.40.1.135/index20.html	2025-12-05 17:55:05.640224	2025-12-05 17:55:05.688377	47.99	200	2759.79	7252.47
50	http://10.40.1.135/index5.html	2025-12-05 17:55:06.640881	2025-12-05 17:55:06.658652	17.74	200	5061.6	9104.99
51	http://10.40.1.135/index48.html	2025-12-05 17:55:07.641706	2025-12-05 17:55:07.660217	18.49	200	4756.1	10230.59
52	http://10.40.1.135/index34.html	2025-12-05 17:55:08.643103	2025-12-05 17:55:08.690182	47.06	200	6932.42	10253.6
53	http://10.40.1.135/index46.html	2025-12-05 17:55:09.644074	2025-12-05 17:55:09.691513	47.29	200	8054.42	11127.54
54	http://10.40.1.135/index42.html	2025-12-05 17:55:10.644702	2025-12-05 17:55:10.684408	39.67	200	1404.11	8271.85
55	http://10.40.1.135/index23.html	2025-12-05 17:55:11.645882	2025-12-05 17:55:11.665055	19.15	200	3904.67	8123.46
56	http://10.40.1.135/index44.html	2025-12-05 17:55:12.647959	2025-12-05 17:55:12.668031	20.04	200	2033.85	9078.11
57	http://10.40.1.135/index3.html	2025-12-05 17:55:13.649052	2025-12-05 17:55:13.668171	19.1	200	8540.05	10930.33
58	http://10.40.1.135/index6.html	2025-12-05 17:55:14.649864	2025-12-05 17:55:14.664574	14.69	200	2261.11	9642.8
59	http://10.40.1.135/index1.html	2025-12-05 17:55:15.651273	2025-12-05 17:55:15.672438	21.14	200	3280.87	9963.18
60	http://10.40.1.135/index10.html	2025-12-05 17:55:16.652653	2025-12-05 17:55:16.678923	26.25	200	3154.92	8718.43
61	http://10.40.1.135/index13.html	2025-12-05 17:55:17.653865	2025-12-05 17:55:17.699317	45.43	200	4702.43	8893.34
62	http://10.40.1.135/index8.html	2025-12-05 17:55:18.655061	2025-12-05 17:55:18.675600	20.45	200	6086.97	11079.99
63	http://10.40.1.135/index38.html	2025-12-05 17:55:19.655963	2025-12-05 17:55:19.673880	17.9	200	2753.35	10030.35
64	http://10.40.1.135/index12.html	2025-12-05 17:55:20.656910	2025-12-05 17:55:20.674431	17.5	200	4989.81	10650.78
65	http://10.40.1.135/index9.html	2025-12-05 17:55:21.658291	2025-12-05 17:55:21.676769	18.44	200	2820.52	10383.91
66	http://10.40.1.135/index20.html	2025-12-05 17:55:22.658804	2025-12-05 17:55:22.682155	23.32	200	2759.79	8750.25
67	http://10.40.1.135/index4.html	2025-12-05 17:55:23.659993	2025-12-05 17:55:23.677086	17.07	200	5061.61	11064.54
68	http://10.40.1.135/index36.html	2025-12-05 17:55:24.661618	2025-12-05 17:55:24.681499	19.47	200	2759.78	9264.75
69	http://10.40.1.135/index2.html	2025-12-05 17:55:25.661995	2025-12-05 17:55:25.682612	20.59	200	4336.15	6965.72
70	http://10.40.1.135/index49.html	2025-12-05 17:55:26.662692	2025-12-05 17:55:26.707483	44.77	200	5469.02	9851.49
