Queue #	URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
1	http://10.40.1.135/index12.html	2025-12-05 20:45:10.555156	2025-12-05 20:45:10.785477	230.29	200	4989.81	3646.05
2	http://10.40.1.135/index47.html	2025-12-05 20:45:11.557714	2025-12-05 20:45:11.702593	144.86	200	3239.0	4130.26
3	http://10.40.1.135/index31.html	2025-12-05 20:45:12.562050	2025-12-05 20:45:12.606297	44.22	200	6818.25	9562.66
4	http://10.40.1.135/index23.html	2025-12-05 20:45:13.563440	2025-12-05 20:45:13.611344	47.88	200	3904.67	8548.69
5	http://10.40.1.135/index4.html	2025-12-05 20:45:14.565033	2025-12-05 20:45:14.607737	42.68	200	5061.61	7724.05
6	http://10.40.1.135/index4.html	2025-12-05 20:45:15.565840	2025-12-05 20:45:15.586741	20.88	200	5061.61	11069.09
7	http://10.40.1.135/index2.html	2025-12-05 20:45:16.566882	2025-12-05 20:45:16.615472	48.46	200	4336.15	8460.46
8	http://10.40.1.135/index40.html	2025-12-05 20:45:17.567960	2025-12-05 20:45:17.610961	42.88	200	8414.1	11107.04
9	http://10.40.1.135/index23.html	2025-12-05 20:45:18.568873	2025-12-05 20:45:18.582882	13.98	200	3904.67	9395.72
10	http://10.40.1.135/index30.html	2025-12-05 20:45:19.569735	2025-12-05 20:45:19.610918	41.16	200	3712.38	7428.76
11	http://10.40.1.135/index1.html	2025-12-05 20:45:20.571490	2025-12-05 20:45:20.616008	44.5	200	3280.87	7391.39
12	http://10.40.1.135/index48.html	2025-12-05 20:45:21.572763	2025-12-05 20:45:21.615530	42.75	200	4756.1	9827.26
13	http://10.40.1.135/index38.html	2025-12-05 20:45:22.573687	2025-12-05 20:45:22.614378	40.67	200	2753.35	9518.56
14	http://10.40.1.135/index6.html	2025-12-05 20:45:23.574899	2025-12-05 20:45:23.617432	42.51	200	2261.11	8037.76
15	http://10.40.1.135/index5.html	2025-12-05 20:45:24.576124	2025-12-05 20:45:24.621803	45.66	200	5061.6	9656.8
16	http://10.40.1.135/index5.html	2025-12-05 20:45:25.576840	2025-12-05 20:45:25.590536	13.68	200	5061.6	10764.42
17	http://10.40.1.135/index9.html	2025-12-05 20:45:26.577779	2025-12-05 20:45:26.623233	45.43	200	2820.52	7389.41
18	http://10.40.1.135/index19.html	2025-12-05 20:45:27.578994	2025-12-05 20:45:27.621674	42.65	200	5392.91	8682.37
19	http://10.40.1.135/index15.html	2025-12-05 20:45:28.579989	2025-12-05 20:45:28.622513	42.47	200	7720.04	10877.81
20	http://10.40.1.135/index9.html	2025-12-05 20:45:29.580938	2025-12-05 20:45:29.601113	20.15	200	2820.52	8728.04
21	http://10.40.1.135/index24.html	2025-12-05 20:45:30.581746	2025-12-05 20:45:30.620517	38.73	200	4648.98	9339.18
22	http://10.40.1.135/index4.html	2025-12-05 20:45:31.582862	2025-12-05 20:45:31.607148	24.09	200	5061.61	11155.61
23	http://10.40.1.135/index9.html	2025-12-05 20:45:32.584235	2025-12-05 20:45:32.605627	21.35	200	2820.52	8259.63
24	http://10.40.1.135/index12.html	2025-12-05 20:45:33.585037	2025-12-05 20:45:33.603455	18.4	200	4989.81	10366.43
25	http://10.40.1.135/index16.html	2025-12-05 20:45:34.585715	2025-12-05 20:45:34.626155	40.42	200	4421.69	9308.51
26	http://10.40.1.135/index35.html	2025-12-05 20:45:35.587057	2025-12-05 20:45:35.634143	47.06	200	2261.12	8960.19
27	http://10.40.1.135/index6.html	2025-12-05 20:45:36.588974	2025-12-05 20:45:36.606655	17.66	200	2261.11	8817.42
28	http://10.40.1.135/index19.html	2025-12-05 20:45:37.590551	2025-12-05 20:45:37.612068	21.5	200	5392.91	10846.65
29	http://10.40.1.135/index23.html	2025-12-05 20:45:38.592010	2025-12-05 20:45:38.613212	21.18	200	3904.67	9161.69
30	http://10.40.1.135/index2.html	2025-12-05 20:45:39.593736	2025-12-05 20:45:39.610589	16.83	200	4336.15	8873.41
31	http://10.40.1.135/index24.html	2025-12-05 20:45:40.594805	2025-12-05 20:45:40.611654	16.83	200	4648.98	10891.3
32	http://10.40.1.135/index5.html	2025-12-05 20:45:41.595961	2025-12-05 20:45:41.613425	17.43	200	5061.6	10974.09
33	http://10.40.1.135/index2.html	2025-12-05 20:45:42.597254	2025-12-05 20:45:42.615009	17.73	200	4336.15	10723.76
34	http://10.40.1.135/index47.html	2025-12-05 20:45:43.598157	2025-12-05 20:45:43.614374	16.2	200	3239.0	10466.01
35	http://10.40.1.135/index48.html	2025-12-05 20:45:44.599172	2025-12-05 20:45:44.619077	19.88	200	4756.1	10245.47
36	http://10.40.1.135/index36.html	2025-12-05 20:45:45.599835	2025-12-05 20:45:45.644768	44.91	200	2759.78	7639.71
37	http://10.40.1.135/index9.html	2025-12-05 20:45:46.600919	2025-12-05 20:45:46.619789	18.85	200	2820.52	8567.95
38	http://10.40.1.135/index3.html	2025-12-05 20:45:47.601829	2025-12-05 20:45:47.644863	43.02	200	8540.05	10589.87
39	http://10.40.1.135/index28.html	2025-12-05 20:45:48.602773	2025-12-05 20:45:48.645628	42.83	200	924.91	6872.27
40	http://10.40.1.135/index15.html	2025-12-05 20:45:49.604404	2025-12-05 20:45:49.623389	18.96	200	7720.04	11197.18
41	http://10.40.1.135/index3.html	2025-12-05 20:45:50.604838	2025-12-05 20:45:50.620241	15.38	200	8540.05	9165.19
42	http://10.40.1.135/index18.html	2025-12-05 20:45:51.606054	2025-12-05 20:45:51.648980	42.9	200	6370.79	9889.2
43	http://10.40.1.135/index1.html	2025-12-05 20:45:52.606863	2025-12-05 20:45:52.628562	21.68	200	3280.87	10095.52
44	http://10.40.1.135/index44.html	2025-12-05 20:45:53.607904	2025-12-05 20:45:53.650289	42.36	200	2033.85	5334.3
45	http://10.40.1.135/index8.html	2025-12-05 20:45:54.609448	2025-12-05 20:45:54.653513	44.04	200	6086.97	8457.02
46	http://10.40.1.135/index27.html	2025-12-05 20:45:55.609727	2025-12-05 20:45:55.651349	41.6	200	619.37	5640.4
47	http://10.40.1.135/index10.html	2025-12-05 20:45:56.611511	2025-12-05 20:45:56.659741	48.2	200	3154.92	6314.3
48	http://10.40.1.135/index19.html	2025-12-05 20:45:57.612872	2025-12-05 20:45:57.633780	20.86	200	5392.91	9030.62
49	http://10.40.1.135/index20.html	2025-12-05 20:45:58.613813	2025-12-05 20:45:58.658407	44.57	200	2759.79	6942.57
50	http://10.40.1.135/index5.html	2025-12-05 20:45:59.615383	2025-12-05 20:45:59.634158	18.7	200	5061.6	9586.79
51	http://10.40.1.135/index48.html	2025-12-05 20:46:00.615713	2025-12-05 20:46:00.636238	20.5	200	4756.1	10898.12
52	http://10.40.1.135/index34.html	2025-12-05 20:46:01.616995	2025-12-05 20:46:01.661264	44.24	200	6932.42	10129.39
53	http://10.40.1.135/index46.html	2025-12-05 20:46:02.618039	2025-12-05 20:46:02.661916	43.79	200	8054.42	11092.51
54	http://10.40.1.135/index42.html	2025-12-05 20:46:03.618914	2025-12-05 20:46:03.665315	46.38	200	1404.11	7169.8
55	http://10.40.1.135/index23.html	2025-12-05 20:46:04.619964	2025-12-05 20:46:04.636960	16.98	200	3904.67	7646.27
56	http://10.40.1.135/index44.html	2025-12-05 20:46:05.620741	2025-12-05 20:46:05.637293	16.53	200	2033.85	8646.12
57	http://10.40.1.135/index3.html	2025-12-05 20:46:06.621962	2025-12-05 20:46:06.640232	18.25	200	8540.05	10308.26
58	http://10.40.1.135/index6.html	2025-12-05 20:46:07.622658	2025-12-05 20:46:07.639532	16.86	200	2261.11	10537.14
59	http://10.40.1.135/index1.html	2025-12-05 20:46:08.623821	2025-12-05 20:46:08.636944	13.1	200	3280.87	9730.14
60	http://10.40.1.135/index10.html	2025-12-05 20:46:09.625011	2025-12-05 20:46:09.645376	20.33	200	3154.92	10130.82
61	http://10.40.1.135/index13.html	2025-12-05 20:46:10.626259	2025-12-05 20:46:10.667762	41.47	200	4702.43	9778.01
62	http://10.40.1.135/index8.html	2025-12-05 20:46:11.626882	2025-12-05 20:46:11.644535	17.63	200	6086.97	10475.12
63	http://10.40.1.135/index38.html	2025-12-05 20:46:12.627760	2025-12-05 20:46:12.643884	16.1	200	2753.35	10758.63
64	http://10.40.1.135/index12.html	2025-12-05 20:46:13.629176	2025-12-05 20:46:13.646449	17.25	200	4989.81	10864.13
65	http://10.40.1.135/index9.html	2025-12-05 20:46:14.629877	2025-12-05 20:46:14.658041	28.15	200	2820.52	8594.32
66	http://10.40.1.135/index20.html	2025-12-05 20:46:15.631027	2025-12-05 20:46:15.649484	18.43	200	2759.79	9147.65
67	http://10.40.1.135/index4.html	2025-12-05 20:46:16.633236	2025-12-05 20:46:16.649497	16.23	200	5061.61	10499.23
68	http://10.40.1.135/index36.html	2025-12-05 20:46:17.633755	2025-12-05 20:46:17.653526	19.75	200	2759.78	8485.83
69	http://10.40.1.135/index2.html	2025-12-05 20:46:18.635091	2025-12-05 20:46:18.655368	20.26	200	4336.15	10526.52
70	http://10.40.1.135/index49.html	2025-12-05 20:46:19.635985	2025-12-05 20:46:19.676500	40.49	200	5469.02	10052.0
71	http://10.40.1.135/index34.html	2025-12-05 20:46:20.636775	2025-12-05 20:46:20.654680	17.88	200	6932.42	11192.81
72	http://10.40.1.135/index6.html	2025-12-05 20:46:21.637901	2025-12-05 20:46:21.656365	18.44	200	2261.11	10790.37
73	http://10.40.1.135/index1.html	2025-12-05 20:46:22.639266	2025-12-05 20:46:22.658173	18.88	200	3280.87	9659.05
74	http://10.40.1.135/index37.html	2025-12-05 20:46:23.639775	2025-12-05 20:46:23.682019	42.14	200	6537.33	10074.88
75	http://10.40.1.135/index30.html	2025-12-05 20:46:24.640969	2025-12-05 20:46:24.658752	17.76	200	3712.38	9327.83
76	http://10.40.1.135/index31.html	2025-12-05 20:46:25.641987	2025-12-05 20:46:25.660426	18.41	200	6818.25	6198.27
77	http://10.40.1.135/index34.html	2025-12-05 20:46:26.643092	2025-12-05 20:46:26.659708	16.59	200	6932.42	10543.05
78	http://10.40.1.135/index2.html	2025-12-05 20:46:27.644082	2025-12-05 20:46:27.661403	17.29	200	4336.15	11447.88
79	http://10.40.1.135/index12.html	2025-12-05 20:46:28.645070	2025-12-05 20:46:28.661791	16.7	200	4989.81	10255.22
80	http://10.40.1.135/index3.html	2025-12-05 20:46:29.645920	2025-12-05 20:46:29.665053	19.11	200	8540.05	11268.56
81	http://10.40.1.135/index40.html	2025-12-05 20:46:30.647003	2025-12-05 20:46:30.660943	13.91	200	8414.1	11346.72
82	http://10.40.1.135/index25.html	2025-12-05 20:46:31.649684	2025-12-05 20:46:31.694462	44.75	200	3605.24	9296.7
83	http://10.40.1.135/index10.html	2025-12-05 20:46:32.651933	2025-12-05 20:46:32.674185	22.23	200	3154.92	9590.45
84	http://10.40.1.135/index2.html	2025-12-05 20:46:33.652952	2025-12-05 20:46:33.673975	21.0	200	4336.15	7054.39
85	http://10.40.1.135/index10.html	2025-12-05 20:46:34.654651	2025-12-05 20:46:34.747269	92.59	200	3154.92	9775.84
86	http://10.40.1.135/index10.html	2025-12-05 20:46:35.655943	2025-12-05 20:46:35.672754	16.79	200	3154.92	7054.71
87	http://10.40.1.135/index31.html	2025-12-05 20:46:36.657340	2025-12-05 20:46:36.673888	16.53	200	6818.25	11026.0
88	http://10.40.1.135/index26.html	2025-12-05 20:46:37.657852	2025-12-05 20:46:37.704344	46.47	200	4588.25	9780.5
89	http://10.40.1.135/index42.html	2025-12-05 20:46:38.659227	2025-12-05 20:46:38.679315	20.06	200	1404.11	9673.16
90	http://10.40.1.135/index17.html	2025-12-05 20:46:39.659894	2025-12-05 20:46:39.706828	46.91	200	4156.75	9018.31
91	http://10.40.1.135/index3.html	2025-12-05 20:46:40.661052	2025-12-05 20:46:40.683141	22.07	200	8540.05	11009.2
92	http://10.40.1.135/index30.html	2025-12-05 20:46:41.661801	2025-12-05 20:46:41.676925	15.0	200	3712.38	10228.51
93	http://10.40.1.135/index33.html	2025-12-05 20:46:42.663087	2025-12-05 20:46:42.708657	45.54	200	6537.32	10155.42
94	http://10.40.1.135/index21.html	2025-12-05 20:46:43.663775	2025-12-05 20:46:43.708227	44.43	200	8906.33	11121.14
95	http://10.40.1.135/index34.html	2025-12-05 20:46:44.664905	2025-12-05 20:46:44.683944	19.02	200	6932.42	11058.91
96	http://10.40.1.135/index18.html	2025-12-05 20:46:45.665849	2025-12-05 20:46:45.679993	14.12	200	6370.79	10404.03
97	http://10.40.1.135/index19.html	2025-12-05 20:46:46.667065	2025-12-05 20:46:46.683657	16.57	200	5392.91	9339.2
98	http://10.40.1.135/index15.html	2025-12-05 20:46:47.668345	2025-12-05 20:46:47.687068	18.67	200	7720.04	10503.35
99	http://10.40.1.135/index1.html	2025-12-05 20:46:48.668714	2025-12-05 20:46:48.685605	16.87	200	3280.87	7832.66
100	http://10.40.1.135/index3.html	2025-12-05 20:46:49.669771	2025-12-05 20:46:49.681255	11.47	200	8540.05	10408.94
101	http://10.40.1.135/index1.html	2025-12-05 20:46:50.671540	2025-12-05 20:46:50.689542	17.97	200	3280.87	8552.45
102	http://10.40.1.135/index25.html	2025-12-05 20:46:51.672877	2025-12-05 20:46:51.692785	19.47	200	3605.24	8918.07
103	http://10.40.1.135/index10.html	2025-12-05 20:46:52.673872	2025-12-05 20:46:52.690444	16.55	200	3154.92	10400.88
104	http://10.40.1.135/index19.html	2025-12-05 20:46:53.674973	2025-12-05 20:46:53.690013	15.02	200	5392.91	8607.1
105	http://10.40.1.135/index43.html	2025-12-05 20:46:54.676245	2025-12-05 20:46:54.724703	48.39	200	2033.87	6848.5
106	http://10.40.1.135/index7.html	2025-12-05 20:46:55.676977	2025-12-05 20:46:55.722776	45.77	200	8054.41	10654.94
107	http://10.40.1.135/index14.html	2025-12-05 20:46:56.677953	2025-12-05 20:46:56.725507	47.53	200	1955.59	7515.69
108	http://10.40.1.135/index33.html	2025-12-05 20:46:57.679025	2025-12-05 20:46:57.694812	15.76	200	6537.32	10461.63
109	http://10.40.1.135/index7.html	2025-12-05 20:46:58.680493	2025-12-05 20:46:58.702941	22.42	200	8054.41	10414.26
110	http://10.40.1.135/index2.html	2025-12-05 20:46:59.681858	2025-12-05 20:46:59.693640	11.76	200	4336.15	9229.75
111	http://10.40.1.135/index9.html	2025-12-05 20:47:00.682974	2025-12-05 20:47:00.700225	17.23	200	2820.52	9692.93
112	http://10.40.1.135/index5.html	2025-12-05 20:47:01.683797	2025-12-05 20:47:01.702737	18.79	200	5061.6	10324.74
113	http://10.40.1.135/index45.html	2025-12-05 20:47:02.684898	2025-12-05 20:47:02.732959	48.04	200	4648.97	9765.65
114	http://10.40.1.135/index36.html	2025-12-05 20:47:03.686522	2025-12-05 20:47:03.707639	21.09	200	2759.78	8788.66
115	http://10.40.1.135/index25.html	2025-12-05 20:47:04.686958	2025-12-05 20:47:04.703316	16.34	200	3605.24	9956.99
116	http://10.40.1.135/index41.html	2025-12-05 20:47:05.687928	2025-12-05 20:47:05.727901	39.95	200	3220.16	7417.1
117	http://10.40.1.135/index36.html	2025-12-05 20:47:06.689494	2025-12-05 20:47:06.705134	15.56	200	2759.78	10561.37
118	http://10.40.1.135/index5.html	2025-12-05 20:47:07.690849	2025-12-05 20:47:07.706874	16.0	200	5061.6	7221.44
