Queue #	URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
2	http://10.40.1.135/index44.html	2025-12-07 00:03:09.440372	2025-12-07 00:03:09.593143	152.75	200	2033.85	2603.93
1	http://10.40.1.135/index7.html	2025-12-07 00:03:08.437603	2025-12-07 00:03:08.659659	222.03	200	8054.41	4678.67
3	http://10.40.1.135/index23.html	2025-12-07 00:03:10.448884	2025-12-07 00:03:10.488895	39.92	200	3904.67	8762.81
4	http://10.40.1.135/index15.html	2025-12-07 00:03:11.449763	2025-12-07 00:03:11.491499	41.72	200	7720.04	8523.99
5	http://10.40.1.135/index2.html	2025-12-07 00:03:12.452282	2025-12-07 00:03:12.494870	42.57	200	4336.15	6066.01
6	http://10.40.1.135/index2.html	2025-12-07 00:03:13.453014	2025-12-07 00:03:13.471646	18.62	200	4336.15	7499.71
7	http://10.40.1.135/index1.html	2025-12-07 00:03:14.453916	2025-12-07 00:03:14.490919	36.98	200	3280.87	6835.26
8	http://10.40.1.135/index34.html	2025-12-07 00:03:15.454789	2025-12-07 00:03:15.500817	46.0	200	6932.42	8103.03
9	http://10.40.1.135/index15.html	2025-12-07 00:03:16.455822	2025-12-07 00:03:16.471170	15.32	200	7720.04	10262.86
10	http://10.40.1.135/index21.html	2025-12-07 00:03:17.456840	2025-12-07 00:03:17.501781	44.76	200	8906.33	10535.81
11	http://10.40.1.135/index1.html	2025-12-07 00:03:18.457713	2025-12-07 00:03:18.478082	20.34	200	3280.87	8832.77
12	http://10.40.1.135/index46.html	2025-12-07 00:03:19.458769	2025-12-07 00:03:19.770798	312.0	200	8054.42	6559.0
13	http://10.40.1.135/index31.html	2025-12-07 00:03:20.461003	2025-12-07 00:03:20.517035	55.84	200	6818.25	8559.95
14	http://10.40.1.135/index3.html	2025-12-07 00:03:21.462018	2025-12-07 00:03:21.505742	43.71	200	8540.05	11143.91
15	http://10.40.1.135/index3.html	2025-12-07 00:03:22.462773	2025-12-07 00:03:22.483771	20.94	200	8540.05	11299.22
16	http://10.40.1.135/index3.html	2025-12-07 00:03:23.463866	2025-12-07 00:03:23.478581	14.69	200	8540.05	11648.24
17	http://10.40.1.135/index5.html	2025-12-07 00:03:24.464834	2025-12-07 00:03:24.506432	41.58	200	5061.6	9126.84
18	http://10.40.1.135/index12.html	2025-12-07 00:03:25.466576	2025-12-07 00:03:25.513194	46.49	200	4989.81	10727.42
19	http://10.40.1.135/index8.html	2025-12-07 00:03:26.468092	2025-12-07 00:03:26.509340	41.22	200	6086.97	10737.01
20	http://10.40.1.135/index5.html	2025-12-07 00:03:27.468865	2025-12-07 00:03:27.486065	17.18	200	5061.6	11122.08
21	http://10.40.1.135/index16.html	2025-12-07 00:03:28.470689	2025-12-07 00:03:28.518490	47.78	200	4421.69	8914.47
22	http://10.40.1.135/index2.html	2025-12-07 00:03:29.471900	2025-12-07 00:03:29.498336	26.4	200	4336.15	8756.13
23	http://10.40.1.135/index5.html	2025-12-07 00:03:30.472778	2025-12-07 00:03:30.491595	18.79	200	5061.6	10479.16
24	http://10.40.1.135/index7.html	2025-12-07 00:03:31.475178	2025-12-07 00:03:31.496332	21.12	200	8054.41	11092.49
25	http://10.40.1.135/index9.html	2025-12-07 00:03:32.475740	2025-12-07 00:03:32.520919	45.16	200	2820.52	7473.34
26	http://10.40.1.135/index27.html	2025-12-07 00:03:33.476943	2025-12-07 00:03:33.517101	40.13	200	619.37	4710.18
27	http://10.40.1.135/index3.html	2025-12-07 00:03:34.478069	2025-12-07 00:03:34.490441	12.35	200	8540.05	11375.98
28	http://10.40.1.135/index11.html	2025-12-07 00:03:35.478711	2025-12-07 00:03:35.526148	47.41	200	7659.31	9973.12
29	http://10.40.1.135/index15.html	2025-12-07 00:03:36.480375	2025-12-07 00:03:36.504611	24.22	200	7720.04	6755.66
30	http://10.40.1.135/index1.html	2025-12-07 00:03:37.480697	2025-12-07 00:03:37.494431	13.71	200	3280.87	7657.42
31	http://10.40.1.135/index15.html	2025-12-07 00:03:38.482279	2025-12-07 00:03:38.498819	16.52	200	7720.04	9393.72
32	http://10.40.1.135/index3.html	2025-12-07 00:03:39.483583	2025-12-07 00:03:39.495209	11.61	200	8540.05	11266.22
33	http://10.40.1.135/index1.html	2025-12-07 00:03:40.484673	2025-12-07 00:03:40.505989	21.2	200	3280.87	7857.29
34	http://10.40.1.135/index44.html	2025-12-07 00:03:41.485787	2025-12-07 00:03:41.501207	15.4	200	2033.85	8087.99
35	http://10.40.1.135/index46.html	2025-12-07 00:03:42.487143	2025-12-07 00:03:42.504840	17.63	200	8054.42	9631.43
36	http://10.40.1.135/index29.html	2025-12-07 00:03:43.488150	2025-12-07 00:03:43.532334	44.15	200	5913.51	9956.42
37	http://10.40.1.135/index5.html	2025-12-07 00:03:44.488825	2025-12-07 00:03:44.507609	18.74	200	5061.6	10710.36
38	http://10.40.1.135/index2.html	2025-12-07 00:03:45.490363	2025-12-07 00:03:45.509484	19.1	200	4336.15	8435.96
39	http://10.40.1.135/index20.html	2025-12-07 00:03:46.491147	2025-12-07 00:03:46.533243	42.08	200	2759.79	5406.72
40	http://10.40.1.135/index9.html	2025-12-07 00:03:47.491693	2025-12-07 00:03:47.507269	15.55	200	2820.52	8484.95
41	http://10.40.1.135/index2.html	2025-12-07 00:03:48.493605	2025-12-07 00:03:48.509136	15.51	200	4336.15	2125.91
43	http://10.40.1.135/index1.html	2025-12-07 00:03:50.497390	2025-12-07 00:03:50.579443	81.16	200	3280.87	5843.03
42	http://10.40.1.135/index11.html	2025-12-07 00:03:49.495145	2025-12-07 00:03:49.885538	390.37	200	7659.31	5627.86
44	http://10.40.1.135/index39.html	2025-12-07 00:03:51.502925	2025-12-07 00:03:51.547239	44.29	200	7720.03	10085.63
45	http://10.40.1.135/index4.html	2025-12-07 00:03:52.503689	2025-12-07 00:03:52.554967	51.25	200	5061.61	10097.73
46	http://10.40.1.135/index18.html	2025-12-07 00:03:53.504879	2025-12-07 00:03:53.551085	46.18	200	6370.79	10437.68
47	http://10.40.1.135/index5.html	2025-12-07 00:03:54.506233	2025-12-07 00:03:54.522378	16.12	200	5061.6	10755.9
48	http://10.40.1.135/index11.html	2025-12-07 00:03:55.506762	2025-12-07 00:03:55.528069	21.29	200	7659.31	11059.63
49	http://10.40.1.135/index13.html	2025-12-07 00:03:56.508040	2025-12-07 00:03:56.553616	45.55	200	4702.43	6139.15
50	http://10.40.1.135/index3.html	2025-12-07 00:03:57.509186	2025-12-07 00:03:57.524065	14.86	200	8540.05	10682.12
51	http://10.40.1.135/index46.html	2025-12-07 00:03:58.510002	2025-12-07 00:03:58.526027	16.0	200	8054.42	10096.81
52	http://10.40.1.135/index26.html	2025-12-07 00:03:59.511100	2025-12-07 00:03:59.557616	46.4	200	4588.25	8858.59
53	http://10.40.1.135/index42.html	2025-12-07 00:04:00.512146	2025-12-07 00:04:00.555696	43.53	200	1404.11	8210.59
54	http://10.40.1.135/index37.html	2025-12-07 00:04:01.513272	2025-12-07 00:04:01.814312	301.01	200	6537.33	5561.61
55	http://10.40.1.135/index15.html	2025-12-07 00:04:02.514100	2025-12-07 00:04:02.766822	252.7	200	7720.04	3280.95
57	http://10.40.1.135/index1.html	2025-12-07 00:04:04.515727	2025-12-07 00:04:05.057031	541.28	200	3280.87	7919.54
56	http://10.40.1.135/index40.html	2025-12-07 00:04:03.514930	2025-12-07 00:04:03.558521	43.57	200	8414.1	3962.23
58	http://10.40.1.135/index3.html	2025-12-07 00:04:05.517284	2025-12-07 00:04:05.535407	18.11	200	8540.05	6497.32
59	http://10.40.1.135/index1.html	2025-12-07 00:04:06.517985	2025-12-07 00:04:06.551127	33.1	200	3280.87	4895.9
60	http://10.40.1.135/index6.html	2025-12-07 00:04:07.518989	2025-12-07 00:04:07.717783	198.53	200	2261.11	6033.86
61	http://10.40.1.135/index7.html	2025-12-07 00:04:08.519955	2025-12-07 00:04:08.537610	17.64	200	8054.41	11172.86
62	http://10.40.1.135/index4.html	2025-12-07 00:04:09.520790	2025-12-07 00:04:09.537546	16.73	200	5061.61	10690.85
63	http://10.40.1.135/index31.html	2025-12-07 00:04:10.521819	2025-12-07 00:04:10.538732	16.89	200	6818.25	10470.8
64	http://10.40.1.135/index6.html	2025-12-07 00:04:11.523389	2025-12-07 00:04:11.544213	20.8	200	2261.11	8202.51
65	http://10.40.1.135/index5.html	2025-12-07 00:04:12.523805	2025-12-07 00:04:12.539723	15.9	200	5061.6	9157.02
66	http://10.40.1.135/index12.html	2025-12-07 00:04:13.525312	2025-12-07 00:04:13.541642	16.19	200	4989.81	10089.91
67	http://10.40.1.135/index2.html	2025-12-07 00:04:14.526480	2025-12-07 00:04:14.546189	19.68	200	4336.15	9086.28
68	http://10.40.1.135/index28.html	2025-12-07 00:04:15.528231	2025-12-07 00:04:15.574191	45.93	200	924.91	4920.42
69	http://10.40.1.135/index1.html	2025-12-07 00:04:16.529112	2025-12-07 00:04:16.547827	18.69	200	3280.87	9471.39
70	http://10.40.1.135/index49.html	2025-12-07 00:04:17.529763	2025-12-07 00:04:17.572871	43.09	200	5469.02	9907.29
71	http://10.40.1.135/index26.html	2025-12-07 00:04:18.531014	2025-12-07 00:04:18.553376	22.34	200	4588.25	9626.54
72	http://10.40.1.135/index3.html	2025-12-07 00:04:19.532006	2025-12-07 00:04:19.547631	15.6	200	8540.05	10957.28
73	http://10.40.1.135/index1.html	2025-12-07 00:04:20.532903	2025-12-07 00:04:20.548757	15.84	200	3280.87	9839.69
74	http://10.40.1.135/index29.html	2025-12-07 00:04:21.533923	2025-12-07 00:04:21.551159	17.21	200	5913.51	10752.84
75	http://10.40.1.135/index21.html	2025-12-07 00:04:22.534872	2025-12-07 00:04:22.563512	28.62	200	8906.33	11502.95
76	http://10.40.1.135/index23.html	2025-12-07 00:04:23.535947	2025-12-07 00:04:23.550227	14.26	200	3904.67	8040.8
77	http://10.40.1.135/index26.html	2025-12-07 00:04:24.537857	2025-12-07 00:04:24.553435	15.56	200	4588.25	10624.5
78	http://10.40.1.135/index1.html	2025-12-07 00:04:25.539025	2025-12-07 00:04:25.561637	22.59	200	3280.87	8912.65
79	http://10.40.1.135/index6.html	2025-12-07 00:04:26.540154	2025-12-07 00:04:26.559960	19.78	200	2261.11	7840.14
80	http://10.40.1.135/index2.html	2025-12-07 00:04:27.540878	2025-12-07 00:04:27.558047	17.14	200	4336.15	8907.75
81	http://10.40.1.135/index34.html	2025-12-07 00:04:28.542129	2025-12-07 00:04:28.563153	21.0	200	6932.42	11197.85
82	http://10.40.1.135/index16.html	2025-12-07 00:04:29.543407	2025-12-07 00:04:29.563998	20.57	200	4421.69	10902.3
83	http://10.40.1.135/index6.html	2025-12-07 00:04:30.543682	2025-12-07 00:04:30.559156	15.31	200	2261.11	7037.31
84	http://10.40.1.135/index1.html	2025-12-07 00:04:31.544833	2025-12-07 00:04:31.560697	15.84	200	3280.87	6720.42
85	http://10.40.1.135/index5.html	2025-12-07 00:04:32.546115	2025-12-07 00:04:32.565938	19.79	200	5061.6	9328.83
86	http://10.40.1.135/index6.html	2025-12-07 00:04:33.547497	2025-12-07 00:04:33.568415	20.9	200	2261.11	8664.73
87	http://10.40.1.135/index23.html	2025-12-07 00:04:34.547752	2025-12-07 00:04:34.566165	18.4	200	3904.67	9371.84
89	http://10.40.1.135/index36.html	2025-12-07 00:04:36.549679	2025-12-07 00:04:36.594545	44.85	200	2759.78	1732.93
88	http://10.40.1.135/index17.html	2025-12-07 00:04:35.548914	2025-12-07 00:04:35.592160	43.23	200	4156.75	1591.35
90	http://10.40.1.135/index10.html	2025-12-07 00:04:37.551166	2025-12-07 00:04:37.593267	42.07	200	3154.92	2090.45
91	http://10.40.1.135/index2.html	2025-12-07 00:04:38.552008	2025-12-07 00:04:38.570192	18.07	200	4336.15	4112.9
92	http://10.40.1.135/index21.html	2025-12-07 00:04:39.553247	2025-12-07 00:04:39.580586	27.06	200	8906.33	11565.01
93	http://10.40.1.135/index25.html	2025-12-07 00:04:40.553732	2025-12-07 00:04:40.592835	39.08	200	3605.24	2101.3
94	http://10.40.1.135/index13.html	2025-12-07 00:04:41.555046	2025-12-07 00:04:42.236974	681.9	200	4702.43	5255.75
95	http://10.40.1.135/index26.html	2025-12-07 00:04:42.556877	2025-12-07 00:04:42.594855	37.96	200	4588.25	8284.77
96	http://10.40.1.135/index10.html	2025-12-07 00:04:43.557993	2025-12-07 00:04:43.575629	17.62	200	3154.92	10597.55
97	http://10.40.1.135/index12.html	2025-12-07 00:04:44.558769	2025-12-07 00:04:44.573905	15.1	200	4989.81	10990.85
98	http://10.40.1.135/index8.html	2025-12-07 00:04:45.560763	2025-12-07 00:04:45.585355	24.57	200	6086.97	11166.9
99	http://10.40.1.135/index1.html	2025-12-07 00:04:46.562210	2025-12-07 00:04:46.578940	16.7	200	3280.87	9272.96
100	http://10.40.1.135/index2.html	2025-12-07 00:04:47.562765	2025-12-07 00:04:47.583248	20.46	200	4336.15	10047.7
101	http://10.40.1.135/index1.html	2025-12-07 00:04:48.564478	2025-12-07 00:04:48.601384	36.89	200	3280.87	9200.91
102	http://10.40.1.135/index17.html	2025-12-07 00:04:49.566058	2025-12-07 00:04:49.583871	17.79	200	4156.75	10471.91
