Queue #	URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
2	http://10.40.1.135/index44.html	2025-12-07 08:56:37.805358	2025-12-07 08:56:37.874920	69.54	200	2033.85	2639.77
1	http://10.40.1.135/index7.html	2025-12-07 08:56:36.803898	2025-12-07 08:56:37.043086	238.99	200	8054.41	4770.03
3	http://10.40.1.135/index23.html	2025-12-07 08:56:38.811706	2025-12-07 08:56:38.853335	41.6	200	3904.67	6173.71
4	http://10.40.1.135/index15.html	2025-12-07 08:56:39.813211	2025-12-07 08:56:39.857751	44.39	200	7720.04	10413.9
5	http://10.40.1.135/index2.html	2025-12-07 08:56:40.813763	2025-12-07 08:56:40.856795	43.01	200	4336.15	10790.22
6	http://10.40.1.135/index2.html	2025-12-07 08:56:41.815067	2025-12-07 08:56:41.835764	20.67	200	4336.15	6923.92
7	http://10.40.1.135/index1.html	2025-12-07 08:56:42.815896	2025-12-07 08:56:42.852220	36.29	200	3280.87	5485.99
8	http://10.40.1.135/index34.html	2025-12-07 08:56:43.818256	2025-12-07 08:56:43.860653	42.38	200	6932.42	10990.37
9	http://10.40.1.135/index15.html	2025-12-07 08:56:44.819055	2025-12-07 08:56:44.840348	21.27	200	7720.04	9954.98
10	http://10.40.1.135/index21.html	2025-12-07 08:56:45.820517	2025-12-07 08:56:45.867019	46.48	200	8906.33	10951.55
11	http://10.40.1.135/index1.html	2025-12-07 08:56:46.821979	2025-12-07 08:56:46.840728	18.73	200	3280.87	9248.22
12	http://10.40.1.135/index46.html	2025-12-07 08:56:47.823768	2025-12-07 08:56:47.866509	42.72	200	8054.42	10182.55
13	http://10.40.1.135/index31.html	2025-12-07 08:56:48.824767	2025-12-07 08:56:48.866509	41.72	200	6818.25	10263.76
14	http://10.40.1.135/index3.html	2025-12-07 08:56:49.825890	2025-12-07 08:56:49.867423	41.52	200	8540.05	9913.68
15	http://10.40.1.135/index3.html	2025-12-07 08:56:50.826748	2025-12-07 08:56:50.843956	17.19	200	8540.05	11416.04
16	http://10.40.1.135/index3.html	2025-12-07 08:56:51.827821	2025-12-07 08:56:51.846030	18.18	200	8540.05	11201.66
17	http://10.40.1.135/index5.html	2025-12-07 08:56:52.828936	2025-12-07 08:56:52.877521	48.56	200	5061.6	9170.3
18	http://10.40.1.135/index12.html	2025-12-07 08:56:53.830016	2025-12-07 08:56:53.866516	36.48	200	4989.81	10116.11
19	http://10.40.1.135/index8.html	2025-12-07 08:56:54.831372	2025-12-07 08:56:54.874230	42.84	200	6086.97	10334.15
20	http://10.40.1.135/index5.html	2025-12-07 08:56:55.832778	2025-12-07 08:56:55.849244	16.45	200	5061.6	10084.15
21	http://10.40.1.135/index16.html	2025-12-07 08:56:56.834125	2025-12-07 08:56:56.883681	49.53	200	4421.69	9525.78
22	http://10.40.1.135/index2.html	2025-12-07 08:56:57.834702	2025-12-07 08:56:57.850657	15.94	200	4336.15	7714.56
23	http://10.40.1.135/index5.html	2025-12-07 08:56:58.835872	2025-12-07 08:56:58.854070	18.18	200	5061.6	9993.25
24	http://10.40.1.135/index7.html	2025-12-07 08:56:59.836956	2025-12-07 08:56:59.856782	19.8	200	8054.41	11349.8
25	http://10.40.1.135/index9.html	2025-12-07 08:57:00.837920	2025-12-07 08:57:00.883048	45.11	200	2820.52	7344.71
26	http://10.40.1.135/index27.html	2025-12-07 08:57:01.838923	2025-12-07 08:57:01.883538	44.59	200	619.37	5338.15
27	http://10.40.1.135/index3.html	2025-12-07 08:57:02.839984	2025-12-07 08:57:02.860589	20.58	200	8540.05	10918.03
28	http://10.40.1.135/index11.html	2025-12-07 08:57:03.840835	2025-12-07 08:57:03.883496	42.64	200	7659.31	9858.78
