URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)	BTS	Dist(m)	Penalty(ms)	Position
http://10.40.1.135/index6.html	2025-12-11 22:39:56.962847	2025-12-11 22:39:57.196256	233.38	200	2261.11	2858.43	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index43.html	2025-12-11 22:39:58.990183	2025-12-11 22:39:59.038225	47.78	200	2033.87	4833.27	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index21.html	2025-12-11 22:40:00.460647	2025-12-11 22:40:00.502223	41.55	200	8906.33	7686.37	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index14.html	2025-12-11 22:40:02.662775	2025-12-11 22:40:02.706861	44.06	200	1955.59	6199.33	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index2.html	2025-12-11 22:40:04.024359	2025-12-11 22:40:04.069104	44.73	200	4336.15	8644.49	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index2.html	2025-12-11 22:40:05.573484	2025-12-11 22:40:05.592724	19.22	200	4336.15	9749.79	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 22:40:07.038636	2025-12-11 22:40:07.082655	44.0	200	3280.87	7824.95	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index33.html	2025-12-11 22:40:08.504191	2025-12-11 22:40:08.549259	45.04	200	6537.32	8919.99	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index14.html	2025-12-11 22:40:10.284737	2025-12-11 22:40:10.303083	18.32	200	1955.59	7899.06	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index20.html	2025-12-11 22:40:11.552931	2025-12-11 22:40:11.596796	43.84	200	2759.79	7679.57	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 22:40:12.958022	2025-12-11 22:40:12.977437	19.39	200	3280.87	9612.88	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index46.html	2025-12-11 22:40:14.320729	2025-12-11 22:40:14.361631	40.88	200	8054.42	10526.44	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index30.html	2025-12-11 22:40:16.129563	2025-12-11 22:40:16.173888	44.28	200	3712.38	8980.63	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index3.html	2025-12-11 22:40:17.590816	2025-12-11 22:40:17.635065	44.23	200	8540.05	10442.12	A	0.0	0.0	(0.0, 0.0)
