URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)	BTS	Dist(m)	Penalty(ms)	Position
http://10.40.1.135/index6.html	2025-12-12 00:38:00.731465	2025-12-12 00:38:00.971178	239.68	200	2261.11	2969.91	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index43.html	2025-12-12 00:38:02.734698	2025-12-12 00:38:02.783449	48.73	200	2033.87	3853.21	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index21.html	2025-12-12 00:38:04.313597	2025-12-12 00:38:04.362069	48.45	200	8906.33	8965.99	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index14.html	2025-12-12 00:38:06.358045	2025-12-12 00:38:06.401669	43.6	200	1955.59	6751.11	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index2.html	2025-12-12 00:38:07.692730	2025-12-12 00:38:07.737145	44.39	200	4336.15	8386.61	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index2.html	2025-12-12 00:38:09.255844	2025-12-12 00:38:09.279221	23.36	200	4336.15	9039.79	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-12 00:38:10.760619	2025-12-12 00:38:10.805963	45.32	200	3280.87	6923.02	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index33.html	2025-12-12 00:38:12.281596	2025-12-12 00:38:12.323835	42.21	200	6537.32	9996.18	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index14.html	2025-12-12 00:38:13.980780	2025-12-12 00:38:14.002702	21.74	200	1955.59	7909.11	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index20.html	2025-12-12 00:38:15.252272	2025-12-12 00:38:15.298201	45.91	200	2759.79	7935.92	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-12 00:38:16.648350	2025-12-12 00:38:16.668754	20.38	200	3280.87	9309.93	A	0.0	0.0	(0.0, 0.0)
