URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)	BTS	Dist(m)	Penalty(ms)	Position
http://10.40.1.135/index3.html	2025-12-11 19:48:41.581807	2025-12-11 19:48:41.755392	173.55	200	8540.05	5253.09	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index36.html	2025-12-11 19:48:44.382645	2025-12-11 19:48:44.403964	21.3	200	2759.78	8279.64	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index12.html	2025-12-11 19:48:45.739158	2025-12-11 19:48:45.757218	18.04	200	4989.81	9867.08	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index7.html	2025-12-11 19:48:47.264784	2025-12-11 19:48:47.287354	22.32	200	8054.41	10855.08	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 19:48:49.033543	2025-12-11 19:48:49.050514	16.95	200	3280.87	9975.27	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 19:48:50.380737	2025-12-11 19:48:50.399145	18.33	200	3280.87	10150.59	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 19:48:51.724604	2025-12-11 19:48:51.743717	19.09	200	3280.87	9892.33	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index22.html	2025-12-11 19:48:53.076723	2025-12-11 19:48:53.092520	15.77	200	5607.98	10816.36	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index7.html	2025-12-11 19:48:54.612612	2025-12-11 19:48:54.628612	15.98	200	8054.41	10884.94	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index11.html	2025-12-11 19:48:56.369701	2025-12-11 19:48:56.389153	19.43	200	7659.31	11139.75	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 19:48:58.078804	2025-12-11 19:48:58.095211	16.38	200	3280.87	9776.87	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index41.html	2025-12-11 19:48:59.431829	2025-12-11 19:48:59.451999	20.15	200	3220.16	9809.77	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index19.html	2025-12-11 19:49:00.781736	2025-12-11 19:49:00.799989	18.23	200	5392.91	10343.3	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index2.html	2025-12-11 19:49:02.323377	2025-12-11 19:49:02.342088	18.69	200	4336.15	10679.9	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 19:49:03.749552	2025-12-11 19:49:03.765173	15.6	200	3280.87	10190.24	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-11 19:49:05.089897	2025-12-11 19:49:05.110513	20.52	200	3280.87	10371.32	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index2.html	2025-12-11 19:49:06.428828	2025-12-11 19:49:06.445273	16.42	200	4336.15	10031.94	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index5.html	2025-12-11 19:49:07.878580	2025-12-11 19:49:07.901073	22.46	200	5061.6	10698.29	A	0.0	0.0	(0.0, 0.0)
