URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
http://10.40.1.135/index3.html	2025-12-03 16:25:00.603040	2025-12-03 16:25:00.764158	161.09	200	8540.05	4861.8
http://10.40.1.135/index10.html	2025-12-03 16:25:01.603971	2025-12-03 16:25:01.662175	57.81	200	3154.92	2535.87
http://10.40.1.135/index7.html	2025-12-03 16:25:02.606869	2025-12-03 16:25:02.630668	23.78	200	8054.41	10704.7
http://10.40.1.135/index6.html	2025-12-03 16:25:03.607674	2025-12-03 16:25:03.626591	18.88	200	2261.11	11043.09
http://10.40.1.135/index2.html	2025-12-03 16:25:04.609014	2025-12-03 16:25:04.632740	23.7	200	4336.15	10525.88
http://10.40.1.135/index2.html	2025-12-03 16:25:05.609908	2025-12-03 16:25:05.628121	18.19	200	4336.15	10304.23
http://10.40.1.135/index1.html	2025-12-03 16:25:06.611048	2025-12-03 16:25:06.628897	17.83	200	3280.87	10234.36
http://10.40.1.135/index9.html	2025-12-03 16:25:07.612074	2025-12-03 16:25:07.631427	19.33	200	2820.52	9944.85
http://10.40.1.135/index6.html	2025-12-03 16:25:08.612711	2025-12-03 16:25:08.631381	18.64	200	2261.11	6690.12
http://10.40.1.135/index7.html	2025-12-03 16:25:09.614397	2025-12-03 16:25:09.632882	18.46	200	8054.41	11233.02
http://10.40.1.135/index1.html	2025-12-03 16:25:10.616011	2025-12-03 16:25:10.642548	26.39	200	3280.87	8736.11
http://10.40.1.135/index10.html	2025-12-03 16:25:11.617847	2025-12-03 16:25:11.636999	19.12	200	3154.92	10879.14
http://10.40.1.135/index8.html	2025-12-03 16:25:12.618931	2025-12-03 16:25:12.638215	19.26	200	6086.97	11066.35
http://10.40.1.135/index2.html	2025-12-03 16:25:13.619702	2025-12-03 16:25:13.639628	19.9	200	4336.15	10053.96
http://10.40.1.135/index2.html	2025-12-03 16:25:14.621349	2025-12-03 16:25:14.640633	19.26	200	4336.15	11018.36
http://10.40.1.135/index2.html	2025-12-03 16:25:15.622538	2025-12-03 16:25:15.636344	13.79	200	4336.15	9835.11
http://10.40.1.135/index3.html	2025-12-03 16:25:16.624050	2025-12-03 16:25:16.643098	19.03	200	8540.05	11436.72
http://10.40.1.135/index5.html	2025-12-03 16:25:17.625273	2025-12-03 16:25:17.641101	15.78	200	5061.6	11548.08
http://10.40.1.135/index4.html	2025-12-03 16:25:18.625975	2025-12-03 16:25:18.641943	15.94	200	5061.61	11381.75
http://10.40.1.135/index3.html	2025-12-03 16:25:19.626808	2025-12-03 16:25:19.646593	19.68	200	8540.05	11323.34
http://10.40.1.135/index6.html	2025-12-03 16:25:20.627983	2025-12-03 16:25:20.644856	16.85	200	2261.11	10462.6
http://10.40.1.135/index2.html	2025-12-03 16:25:21.628810	2025-12-03 16:25:21.644577	15.75	200	4336.15	11227.42
http://10.40.1.135/index3.html	2025-12-03 16:25:22.630091	2025-12-03 16:25:22.645874	15.69	200	8540.05	11340.9
http://10.40.1.135/index3.html	2025-12-03 16:25:23.631038	2025-12-03 16:25:23.648401	17.34	200	8540.05	11515.8
http://10.40.1.135/index4.html	2025-12-03 16:25:24.631875	2025-12-03 16:25:24.647964	16.07	200	5061.61	10783.54
http://10.40.1.135/index8.html	2025-12-03 16:25:25.633445	2025-12-03 16:25:25.654090	20.62	200	6086.97	10528.14
http://10.40.1.135/index2.html	2025-12-03 16:25:26.634939	2025-12-03 16:25:26.648460	13.5	200	4336.15	11145.06
http://10.40.1.135/index5.html	2025-12-03 16:25:27.635702	2025-12-03 16:25:27.649878	13.96	200	5061.6	10691.78
http://10.40.1.135/index6.html	2025-12-03 16:25:28.636697	2025-12-03 16:25:28.657597	20.86	200	2261.11	8899.64
http://10.40.1.135/index1.html	2025-12-03 16:25:29.637734	2025-12-03 16:25:29.662232	24.48	200	3280.87	8525.57
http://10.40.1.135/index6.html	2025-12-03 16:25:30.638881	2025-12-03 16:25:30.657670	18.77	200	2261.11	8290.19
http://10.40.1.135/index2.html	2025-12-03 16:25:31.639689	2025-12-03 16:25:31.658756	19.05	200	4336.15	9559.65
http://10.40.1.135/index1.html	2025-12-03 16:25:32.640804	2025-12-03 16:25:32.659354	18.52	200	3280.87	10586.02
http://10.40.1.135/index10.html	2025-12-03 16:25:33.642213	2025-12-03 16:25:33.663106	20.8	200	3154.92	8763.87
http://10.40.1.135/index10.html	2025-12-03 16:25:34.642855	2025-12-03 16:25:34.660655	17.63	200	3154.92	9655.23
http://10.40.1.135/index8.html	2025-12-03 16:25:35.643864	2025-12-03 16:25:35.664631	20.74	200	6086.97	10561.34
http://10.40.1.135/index3.html	2025-12-03 16:25:36.644969	2025-12-03 16:25:36.663000	18.01	200	8540.05	11222.73
http://10.40.1.135/index1.html	2025-12-03 16:25:37.645972	2025-12-03 16:25:37.665881	19.87	200	3280.87	10257.68
http://10.40.1.135/index7.html	2025-12-03 16:25:38.646858	2025-12-03 16:25:38.664402	17.51	200	8054.41	11480.41
http://10.40.1.135/index4.html	2025-12-03 16:25:39.647754	2025-12-03 16:25:39.660378	12.6	200	5061.61	11454.9
http://10.40.1.135/index1.html	2025-12-03 16:25:40.649087	2025-12-03 16:25:40.666639	17.53	200	3280.87	10760.08
http://10.40.1.135/index5.html	2025-12-03 16:25:41.649799	2025-12-03 16:25:41.670492	20.67	200	5061.6	11154.03
http://10.40.1.135/index1.html	2025-12-03 16:25:42.651081	2025-12-03 16:25:42.670862	19.75	200	3280.87	8436.95
http://10.40.1.135/index9.html	2025-12-03 16:25:43.652580	2025-12-03 16:25:43.680126	27.51	200	2820.52	8248.33
http://10.40.1.135/index2.html	2025-12-03 16:25:44.653782	2025-12-03 16:25:44.670871	17.07	200	4336.15	9799.88
http://10.40.1.135/index6.html	2025-12-03 16:25:45.654884	2025-12-03 16:25:45.676265	21.2	200	2261.11	10654.87
http://10.40.1.135/index3.html	2025-12-03 16:25:46.656226	2025-12-03 16:25:46.676205	19.96	200	8540.05	11149.92
http://10.40.1.135/index5.html	2025-12-03 16:25:47.657177	2025-12-03 16:25:47.672874	15.67	200	5061.6	11905.83
http://10.40.1.135/index5.html	2025-12-03 16:25:48.658028	2025-12-03 16:25:48.679402	21.25	200	5061.6	10643.68
http://10.40.1.135/index2.html	2025-12-03 16:25:49.658703	2025-12-03 16:25:49.679644	20.91	200	4336.15	11180.58
http://10.40.1.135/index10.html	2025-12-03 16:25:50.660258	2025-12-03 16:25:50.678642	18.36	200	3154.92	10743.25
http://10.40.1.135/index8.html	2025-12-03 16:25:51.661049	2025-12-03 16:25:51.684076	23.0	200	6086.97	10770.16
http://10.40.1.135/index10.html	2025-12-03 16:25:52.661978	2025-12-03 16:25:52.679831	17.83	200	3154.92	10452.01
http://10.40.1.135/index9.html	2025-12-03 16:25:53.662747	2025-12-03 16:25:53.680507	17.74	200	2820.52	9643.94
http://10.40.1.135/index6.html	2025-12-03 16:25:54.663745	2025-12-03 16:25:54.684340	20.43	200	2261.11	8943.46
http://10.40.1.135/index9.html	2025-12-03 16:25:55.664913	2025-12-03 16:25:55.683863	18.93	200	2820.52	10017.54
http://10.40.1.135/index1.html	2025-12-03 16:25:56.666541	2025-12-03 16:25:56.684267	17.7	200	3280.87	10221.55
http://10.40.1.135/index2.html	2025-12-03 16:25:57.667931	2025-12-03 16:25:57.686763	18.81	200	4336.15	10725.03
http://10.40.1.135/index1.html	2025-12-03 16:25:58.669091	2025-12-03 16:25:58.694197	25.07	200	3280.87	9991.34
http://10.40.1.135/index3.html	2025-12-03 16:25:59.670469	2025-12-03 16:25:59.687609	17.12	200	8540.05	10769.26
http://10.40.1.135/index4.html	2025-12-03 16:26:00.671957	2025-12-03 16:26:00.686372	14.39	200	5061.61	11379.32
http://10.40.1.135/index3.html	2025-12-03 16:26:01.672736	2025-12-03 16:26:01.688969	16.21	200	8540.05	11754.27
http://10.40.1.135/index8.html	2025-12-03 16:26:02.674121	2025-12-03 16:26:02.693454	19.3	200	6086.97	11445.87
http://10.40.1.135/index3.html	2025-12-03 16:26:03.675029	2025-12-03 16:26:03.690852	15.8	200	8540.05	11658.63
http://10.40.1.135/index3.html	2025-12-03 16:26:04.676186	2025-12-03 16:26:04.698699	22.49	200	8540.05	11981.34
http://10.40.1.135/index5.html	2025-12-03 16:26:05.676946	2025-12-03 16:26:05.694838	17.87	200	5061.6	11296.82
http://10.40.1.135/index2.html	2025-12-03 16:26:06.677827	2025-12-03 16:26:06.695051	17.11	200	4336.15	11561.53
http://10.40.1.135/index8.html	2025-12-03 16:26:07.678683	2025-12-03 16:26:07.697726	19.02	200	6086.97	11344.9
http://10.40.1.135/index1.html	2025-12-03 16:26:08.679798	2025-12-03 16:26:08.698848	19.02	200	3280.87	9981.24
http://10.40.1.135/index10.html	2025-12-03 16:26:09.680832	2025-12-03 16:26:09.705562	24.71	200	3154.92	10478.49
http://10.40.1.135/index8.html	2025-12-03 16:26:10.683160	2025-12-03 16:26:10.699903	16.72	200	6086.97	10869.01
http://10.40.1.135/index2.html	2025-12-03 16:26:11.685213	2025-12-03 16:26:11.706654	21.41	200	4336.15	11162.27
http://10.40.1.135/index1.html	2025-12-03 16:26:12.686790	2025-12-03 16:26:12.708715	21.89	200	3280.87	10938.38
http://10.40.1.135/index8.html	2025-12-03 16:26:13.687744	2025-12-03 16:26:13.709108	21.28	200	6086.97	10432.54
http://10.40.1.135/index7.html	2025-12-03 16:26:14.688787	2025-12-03 16:26:14.703581	14.77	200	8054.41	11422.96
http://10.40.1.135/index7.html	2025-12-03 16:26:15.690030	2025-12-03 16:26:15.708126	18.07	200	8054.41	10489.53
http://10.40.1.135/index8.html	2025-12-03 16:26:16.690839	2025-12-03 16:26:16.710753	19.89	200	6086.97	10778.08
http://10.40.1.135/index1.html	2025-12-03 16:26:17.692442	2025-12-03 16:26:17.703170	10.7	200	3280.87	10111.49
http://10.40.1.135/index3.html	2025-12-03 16:26:18.693676	2025-12-03 16:26:18.710965	17.12	200	8540.05	10329.22
http://10.40.1.135/index1.html	2025-12-03 16:26:19.694868	2025-12-03 16:26:19.715708	20.77	200	3280.87	11175.48
http://10.40.1.135/index9.html	2025-12-03 16:26:20.696126	2025-12-03 16:26:20.713405	17.25	200	2820.52	9780.26
http://10.40.1.135/index6.html	2025-12-03 16:26:21.697540	2025-12-03 16:26:21.712780	15.22	200	2261.11	8366.84
http://10.40.1.135/index3.html	2025-12-03 16:26:22.699648	2025-12-03 16:26:22.718026	18.36	200	8540.05	11187.97
http://10.40.1.135/index1.html	2025-12-03 16:26:23.700765	2025-12-03 16:26:23.716704	15.92	200	3280.87	10594.97
http://10.40.1.135/index3.html	2025-12-03 16:26:24.702035	2025-12-03 16:26:24.719091	17.04	200	8540.05	11610.38
http://10.40.1.135/index3.html	2025-12-03 16:26:25.702978	2025-12-03 16:26:25.727563	24.56	200	8540.05	11536.5
http://10.40.1.135/index7.html	2025-12-03 16:26:26.704217	2025-12-03 16:26:26.717302	13.06	200	8054.41	11763.49
http://10.40.1.135/index6.html	2025-12-03 16:26:27.704696	2025-12-03 16:26:27.720679	15.84	200	2261.11	10293.59
http://10.40.1.135/index9.html	2025-12-03 16:26:28.705933	2025-12-03 16:26:28.726396	20.44	200	2820.52	9291.15
http://10.40.1.135/index4.html	2025-12-03 16:26:29.706899	2025-12-03 16:26:29.727619	20.67	200	5061.61	10958.27
http://10.40.1.135/index1.html	2025-12-03 16:26:30.708168	2025-12-03 16:26:30.727289	18.28	200	3280.87	9183.62
http://10.40.1.135/index7.html	2025-12-03 16:26:31.708762	2025-12-03 16:26:31.727671	18.83	200	8054.41	11299.19
http://10.40.1.135/index8.html	2025-12-03 16:26:32.709963	2025-12-03 16:26:32.725936	15.95	200	6086.97	11515.19
http://10.40.1.135/index5.html	2025-12-03 16:26:33.710715	2025-12-03 16:26:33.729725	18.98	200	5061.6	11102.78
