URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
http://10.40.1.135/index3.html	2025-12-03 16:35:32.151560	2025-12-03 16:35:32.328778	177.2	200	8540.05	4881.15
http://10.40.1.135/index10.html	2025-12-03 16:35:33.153189	2025-12-03 16:35:33.207589	54.38	200	3154.92	2448.24
http://10.40.1.135/index7.html	2025-12-03 16:35:34.160381	2025-12-03 16:35:34.188806	28.4	200	8054.41	10388.32
http://10.40.1.135/index6.html	2025-12-03 16:35:35.160894	2025-12-03 16:35:35.180562	19.65	200	2261.11	10090.62
http://10.40.1.135/index2.html	2025-12-03 16:35:36.161832	2025-12-03 16:35:36.179957	18.1	200	4336.15	7481.01
http://10.40.1.135/index2.html	2025-12-03 16:35:37.162859	2025-12-03 16:35:37.176020	13.12	200	4336.15	9679.09
http://10.40.1.135/index1.html	2025-12-03 16:35:38.164332	2025-12-03 16:35:38.184012	19.66	200	3280.87	6401.44
http://10.40.1.135/index9.html	2025-12-03 16:35:39.164857	2025-12-03 16:35:39.181925	17.04	200	2820.52	6745.16
http://10.40.1.135/index6.html	2025-12-03 16:35:40.166050	2025-12-03 16:35:40.181285	15.21	200	2261.11	7317.19
http://10.40.1.135/index7.html	2025-12-03 16:35:41.166977	2025-12-03 16:35:41.185895	18.9	200	8054.41	10174.49
http://10.40.1.135/index1.html	2025-12-03 16:35:42.167896	2025-12-03 16:35:42.185609	17.69	200	3280.87	7858.41
http://10.40.1.135/index10.html	2025-12-03 16:35:43.168819	2025-12-03 16:35:43.192305	23.47	200	3154.92	7328.9
http://10.40.1.135/index8.html	2025-12-03 16:35:44.170119	2025-12-03 16:35:44.192149	22.0	200	6086.97	9748.49
http://10.40.1.135/index2.html	2025-12-03 16:35:45.171093	2025-12-03 16:35:45.189628	18.51	200	4336.15	10118.85
http://10.40.1.135/index2.html	2025-12-03 16:35:46.172139	2025-12-03 16:35:46.194747	22.59	200	4336.15	8068.33
http://10.40.1.135/index2.html	2025-12-03 16:35:47.172723	2025-12-03 16:35:47.192701	19.96	200	4336.15	10985.91
http://10.40.1.135/index3.html	2025-12-03 16:35:48.174347	2025-12-03 16:35:48.190125	15.75	200	8540.05	11118.33
http://10.40.1.135/index5.html	2025-12-03 16:35:49.174949	2025-12-03 16:35:49.193355	18.37	200	5061.6	10964.69
http://10.40.1.135/index4.html	2025-12-03 16:35:50.176145	2025-12-03 16:35:50.190632	14.46	200	5061.61	10872.72
http://10.40.1.135/index3.html	2025-12-03 16:35:51.177315	2025-12-03 16:35:51.190840	13.49	200	8540.05	11462.38
http://10.40.1.135/index6.html	2025-12-03 16:35:52.177922	2025-12-03 16:35:52.197481	19.53	200	2261.11	10072.44
http://10.40.1.135/index2.html	2025-12-03 16:35:53.179060	2025-12-03 16:35:53.197827	18.74	200	4336.15	10172.19
http://10.40.1.135/index3.html	2025-12-03 16:35:54.179838	2025-12-03 16:35:54.197768	17.91	200	8540.05	10775.1
http://10.40.1.135/index3.html	2025-12-03 16:35:55.180870	2025-12-03 16:35:55.199507	18.62	200	8540.05	11320.76
http://10.40.1.135/index4.html	2025-12-03 16:35:56.181771	2025-12-03 16:35:56.201697	19.9	200	5061.61	10947.72
http://10.40.1.135/index8.html	2025-12-03 16:35:57.182901	2025-12-03 16:35:57.203691	20.77	200	6086.97	11008.61
http://10.40.1.135/index2.html	2025-12-03 16:35:58.183711	2025-12-03 16:35:58.200647	16.92	200	4336.15	10865.55
http://10.40.1.135/index5.html	2025-12-03 16:35:59.185164	2025-12-03 16:35:59.201939	16.76	200	5061.6	11374.43
http://10.40.1.135/index6.html	2025-12-03 16:36:00.186520	2025-12-03 16:36:00.202705	16.16	200	2261.11	9291.96
http://10.40.1.135/index1.html	2025-12-03 16:36:01.188100	2025-12-03 16:36:01.206680	18.55	200	3280.87	10126.19
http://10.40.1.135/index6.html	2025-12-03 16:36:02.189341	2025-12-03 16:36:02.206002	16.64	200	2261.11	8715.5
http://10.40.1.135/index2.html	2025-12-03 16:36:03.189714	2025-12-03 16:36:03.206180	16.42	200	4336.15	9679.1
http://10.40.1.135/index1.html	2025-12-03 16:36:04.191477	2025-12-03 16:36:04.205450	13.95	200	3280.87	10900.43
http://10.40.1.135/index10.html	2025-12-03 16:36:05.192577	2025-12-03 16:36:05.209886	17.29	200	3154.92	9293.74
http://10.40.1.135/index10.html	2025-12-03 16:36:06.193721	2025-12-03 16:36:06.215843	22.0	200	3154.92	8834.03
http://10.40.1.135/index8.html	2025-12-03 16:36:07.194741	2025-12-03 16:36:07.211402	16.64	200	6086.97	11231.82
http://10.40.1.135/index3.html	2025-12-03 16:36:08.196243	2025-12-03 16:36:08.213796	17.53	200	8540.05	11511.69
http://10.40.1.135/index1.html	2025-12-03 16:36:09.197018	2025-12-03 16:36:09.219471	22.34	200	3280.87	7884.09
http://10.40.1.135/index7.html	2025-12-03 16:36:10.197695	2025-12-03 16:36:10.213935	16.22	200	8054.41	10740.76
http://10.40.1.135/index4.html	2025-12-03 16:36:11.198863	2025-12-03 16:36:11.223073	24.19	200	5061.61	10058.75
http://10.40.1.135/index1.html	2025-12-03 16:36:12.199653	2025-12-03 16:36:12.216263	16.59	200	3280.87	9242.29
http://10.40.1.135/index5.html	2025-12-03 16:36:13.201306	2025-12-03 16:36:13.217585	16.26	200	5061.6	10572.42
http://10.40.1.135/index1.html	2025-12-03 16:36:14.202143	2025-12-03 16:36:14.222946	20.77	200	3280.87	10525.95
http://10.40.1.135/index9.html	2025-12-03 16:36:15.203358	2025-12-03 16:36:15.226555	23.18	200	2820.52	8849.23
http://10.40.1.135/index2.html	2025-12-03 16:36:16.203873	2025-12-03 16:36:16.222236	18.34	200	4336.15	9887.4
http://10.40.1.135/index6.html	2025-12-03 16:36:17.205151	2025-12-03 16:36:17.220258	15.08	200	2261.11	9815.42
http://10.40.1.135/index3.html	2025-12-03 16:36:18.206879	2025-12-03 16:36:18.225658	18.76	200	8540.05	10927.92
http://10.40.1.135/index5.html	2025-12-03 16:36:19.208182	2025-12-03 16:36:19.223895	15.69	200	5061.6	11683.03
http://10.40.1.135/index5.html	2025-12-03 16:36:20.209306	2025-12-03 16:36:20.230223	20.88	200	5061.6	10834.63
http://10.40.1.135/index2.html	2025-12-03 16:36:21.210883	2025-12-03 16:36:21.229117	18.22	200	4336.15	9077.27
http://10.40.1.135/index10.html	2025-12-03 16:36:22.211857	2025-12-03 16:36:22.230428	18.55	200	3154.92	7841.16
http://10.40.1.135/index8.html	2025-12-03 16:36:23.213115	2025-12-03 16:36:23.233784	20.65	200	6086.97	10260.66
http://10.40.1.135/index10.html	2025-12-03 16:36:24.213880	2025-12-03 16:36:24.235808	21.91	200	3154.92	10018.96
http://10.40.1.135/index9.html	2025-12-03 16:36:25.215139	2025-12-03 16:36:25.232541	17.38	200	2820.52	8472.93
http://10.40.1.135/index6.html	2025-12-03 16:36:26.216078	2025-12-03 16:36:26.234165	18.07	200	2261.11	9206.32
http://10.40.1.135/index9.html	2025-12-03 16:36:27.217025	2025-12-03 16:36:27.233183	16.14	200	2820.52	9642.15
http://10.40.1.135/index1.html	2025-12-03 16:36:28.217771	2025-12-03 16:36:28.238860	21.07	200	3280.87	10423.5
http://10.40.1.135/index2.html	2025-12-03 16:36:29.218847	2025-12-03 16:36:29.230607	11.74	200	4336.15	10509.28
http://10.40.1.135/index1.html	2025-12-03 16:36:30.219736	2025-12-03 16:36:30.237480	17.72	200	3280.87	8980.71
http://10.40.1.135/index3.html	2025-12-03 16:36:31.220715	2025-12-03 16:36:31.238720	17.99	200	8540.05	10939.56
http://10.40.1.135/index4.html	2025-12-03 16:36:32.221723	2025-12-03 16:36:32.242796	21.05	200	5061.61	11448.3
http://10.40.1.135/index3.html	2025-12-03 16:36:33.222748	2025-12-03 16:36:33.250823	28.05	200	8540.05	11497.78
http://10.40.1.135/index8.html	2025-12-03 16:36:34.223781	2025-12-03 16:36:34.241715	17.89	200	6086.97	11465.85
http://10.40.1.135/index3.html	2025-12-03 16:36:35.224921	2025-12-03 16:36:35.245346	20.4	200	8540.05	11258.85
http://10.40.1.135/index3.html	2025-12-03 16:36:36.225874	2025-12-03 16:36:36.248215	22.32	200	8540.05	6370.93
http://10.40.1.135/index5.html	2025-12-03 16:36:37.226825	2025-12-03 16:36:37.245448	18.61	200	5061.6	9830.22
http://10.40.1.135/index2.html	2025-12-03 16:36:38.228029	2025-12-03 16:36:38.245181	17.13	200	4336.15	9636.76
http://10.40.1.135/index8.html	2025-12-03 16:36:39.228732	2025-12-03 16:36:39.245564	16.81	200	6086.97	7157.99
http://10.40.1.135/index1.html	2025-12-03 16:36:40.230237	2025-12-03 16:36:40.247084	16.82	200	3280.87	10645.91
http://10.40.1.135/index10.html	2025-12-03 16:36:41.231339	2025-12-03 16:36:41.250312	18.95	200	3154.92	6558.55
http://10.40.1.135/index8.html	2025-12-03 16:36:42.232299	2025-12-03 16:36:42.249626	17.26	200	6086.97	8960.05
